Decision ID,Candidate ID,Packet ID,Chronology ID,Duplicate ID,Proposed FRUS Number,Decision Status,Promotion Recommendation,Date,Title,Lane,Editorial Role,Priority,Source Copy Status,Duplicate Status,Boundary Ruling,Final Duplicate Ruling,Selection Rationale,Policy Evidence,Implementation Evidence,Reaction Evidence,Public Line Evidence,Citation Status,Final Source Note,Related Pull Sheets,Related Docket,Next Editorial Action,Reviewer,Decision Date,Notes
SEL-001,DOC50-001,PKT-001,CHR-029,DUP-029,"",Pending review,Hold pending source-copy and duplicate proof,"September 9-11, 1944",CIAA circular announcing morning and noon Spanish-language shortwave service,Hemisphere and Cultural Exchange,State cable / implementation,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, 7/1944-12/1944: 103.91602/4-1544 - 103.9166/12-3144, NAID 88176221, M973-607-0095.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-002,DOC50-002,PKT-002,CHR-030,DUP-030,"",Pending review,Hold pending source-copy and duplicate proof,"September 21, 1944",Dominican Republic report that WNBI broadcasts were excellent but reception varied by date,Hemisphere and Cultural Exchange,State cable / implementation,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-003,DOC50-003,PKT-003,CHR-032,DUP-032,"",Pending review,Hold pending source-copy and duplicate proof,"September 22, 1944",Circular to diplomatic officers requesting replies to a motion-picture questionnaire,Hemisphere and Cultural Exchange,State cable / implementation,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-004,DOC50-004,PKT-004,CHR-033,DUP-033,"",Pending review,Hold pending source-copy and duplicate proof,"October 20, 1944",Colombia telegram listing latest CIAA program numbers and expiration dates,Hemisphere and Cultural Exchange,State cable / implementation,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0110.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-005,DOC50-005,PKT-005,CHR-034,DUP-034,"",Pending review,Hold pending source-copy and duplicate proof,"October 20, 1944",Chile telegram reporting that no CIAA transcriptions were then in use,Hemisphere and Cultural Exchange,State cable / implementation,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0110.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-006,DOC50-006,PKT-006,CHR-039,DUP-039,"",Pending review,Hold pending source-copy and duplicate proof,"November 21, 1944",Circular transmitting changes in the English shortwave schedule,Hemisphere and Cultural Exchange,State cable / implementation,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0120.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-007,DOC50-007,PKT-007,CHR-037,DUP-037,"",Pending review,Hold pending source-copy and duplicate proof,"November 20, 1944",Brazil telegram on proposed Hemisphere information service through CIAA,Hemisphere and Cultural Exchange,State cable / implementation,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0120.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-008,DOC50-008,PKT-008,CHR-031,DUP-031,"",Pending review,Hold pending source-copy and duplicate proof,"September 21, 1944",Costa Rica telegram enclosing Nelson Rockefeller message for Teodoro Picado,Hemisphere and Cultural Exchange,State cable / implementation,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100.",PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-009,DOC50-009,PKT-009,CHR-022,DUP-022,"",Pending review,Hold pending source-copy and duplicate proof,"July 10, 1944",Dakar telegram to Motion Picture Radio Division advising United Newsreel 108 arrived,OWI Overseas and VOA,State cable / implementation,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-010,DOC50-010,PKT-010,CHR-020,DUP-020,"",Pending review,Hold pending source-copy and duplicate proof,"July 8, 1944",The Iceland Outpost: Analysis of an Informational Operation,OWI Overseas and VOA,State cable / implementation,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-011,DOC50-011,PKT-011,CHR-021,DUP-021,"",Pending review,Hold pending source-copy and duplicate proof,"July 9, 1944",Switzerland telegram carrying OWI message on prewar Bern-Rome communications,OWI Overseas and VOA,State cable / implementation,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500.",PULL-001; PULL-006,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-012,DOC50-012,PKT-012,CHR-023,DUP-023,"",Pending review,Hold pending source-copy and duplicate proof,"August 8, 1944",Manchester dispatch enclosing notices on the OWI Information Center Unit,OWI Overseas and VOA,State cable / implementation,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0550.",PULL-001; PULL-005,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-013,DOC50-013,PKT-013,CHR-024,DUP-024,"",Pending review,Hold pending source-copy and duplicate proof,"August 8, 1944","Manchester Press Attache report for the week ending August 5, 1944",OWI Overseas and VOA,State cable / implementation,Medium,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0550.",PULL-001; PULL-005,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-014,DOC50-014,PKT-014,CHR-026,DUP-026,"",Pending review,Priority promotion review after source copy,"September 2, 1944",Naples telegram on the present state of OWI thinking with regard to Balkan affairs,OWI Overseas and VOA,State cable / implementation,Critical,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-015,DOC50-015,PKT-015,CHR-027,DUP-027,"",Pending review,Priority promotion review after source copy,"September 2, 1944",Switzerland telegram submitting suggestions for Allied propaganda for Italy,OWI Overseas and VOA,State cable / implementation,Critical,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600.",PULL-001; PULL-006,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
SEL-016,DOC50-016,PKT-016,CHR-028,DUP-028,"",Pending review,Hold pending source-copy and duplicate proof,"September 2, 1944",Suva telegram summarizing a Central Directive from OWI,OWI Overseas and VOA,State cable / implementation,High,Needed,Unchecked,Not yet ruled,Unchecked - proof required before promotion,"","","","","",Pending source-copy citation,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0600.",PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"Complete source-copy packet, fill duplicate counts and final ruling, then assign promote/hold/exclude decision.","","",""
