"Chronology ID","Candidate ID","Sort Key","Display Date","Lane","Episode","Editorial Role","Priority","Proof Status","Repository","Record Group","Source Locator","Title","Placement Note","Next Action","Duplicate Task","Related Pull Sheets","Related Docket","Catalog URL","FRUS Search URL","Source Note"
"CHR-001","DOC50-041","1942-01-01","1942-1944","Creating War Information","White House OWI oversight and intelligence surveys","White House control","High","Folder/item source copy needed","FDR Library / NARA Catalog","President's Secretary's File","NAID 16620603","Office of War Information, 1942-1944","White House control cluster; use before or beside agency records when FDR routing or oversight is visible.","Pull folder-level source copies and identify FDR action, White House routing, or relation to State/OWI decisions.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-008","DKT-001; DKT-005; DKT-008; DKT-007","https://catalog.archives.gov/id/16620603","https://history.state.gov/search?q=%22Office%20of%20War%20Information%2C%201942-1944%22","FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information, 1942-1944, NAID 16620603."
"CHR-002","DOC50-048","1942-01-01","1942","Hemisphere and Cultural Exchange","OIAA radio operations and reaction evidence","Reception / operations evidence","High","Item selection needed","NARA","RG 229","NAID 782735","Radio Reaction Reports","Hemisphere radio/OIAA cluster; pair State cable, post evidence, and OIAA radio reaction before promotion.","Itemize the file unit and pair radio operation or reaction evidence with RG 59/RG 84 State documentation.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-007","DKT-001; DKT-005; DKT-008; DKT-003; DKT-006","https://catalog.archives.gov/id/782735","https://history.state.gov/search?q=%22Radio%20Reaction%20Reports%22%20%22Inter-American%22","NARA RG 229, Office of the Coordinator of Inter-American Affairs, Department of Information, Radio Division, Radio Reaction Reports, NAID 782735."
"CHR-003","DOC50-043","1942-06-01","June 1942","Creating War Information","White House OWI oversight and intelligence surveys","White House control","Medium","Folder/item source copy needed","FDR Library / NARA Catalog","President's Secretary's File","NAID 16620611","Office of War Information - Survey of Intelligence, June 1942","White House control cluster; use before or beside agency records when FDR routing or oversight is visible.","Pull folder-level source copies and identify FDR action, White House routing, or relation to State/OWI decisions.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-008","DKT-001; DKT-005; DKT-008; DKT-007","https://catalog.archives.gov/id/16620611","https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20June%201942%22","FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, June 1942, NAID 16620611."
"CHR-004","DOC50-044","1942-08-01","August 1942","Creating War Information","White House OWI oversight and intelligence surveys","White House control","Medium","Folder/item source copy needed","FDR Library / NARA Catalog","President's Secretary's File","NAID 16620616","Office of War Information - Survey of Intelligence, August 1942","White House control cluster; use before or beside agency records when FDR routing or oversight is visible.","Pull folder-level source copies and identify FDR action, White House routing, or relation to State/OWI decisions.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-008","DKT-001; DKT-005; DKT-008; DKT-007","https://catalog.archives.gov/id/16620616","https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20August%201942%22","FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, August 1942, NAID 16620616."
"CHR-005","DOC50-046","1942-11-19","November 19, 1942","Prewar Information Policy","Rumor-control boundary review","Boundary memo","Medium","Boundary ruling needed","FDR Library / NARA Catalog","Philleo Nash Papers","NAID 509549657","Memorandum to Philleo Nash from Leo C. Rosten, with attachment","Domestic morale boundary check; promote only if foreign-audience or State policy consequence appears.","Review the source copy for foreign-audience, overseas information, State policy, or White House public-line control before any promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-009","DKT-001; DKT-005; DKT-008","https://catalog.archives.gov/id/509549657","https://history.state.gov/search?q=%22Memorandum%20to%20Philleo%20Nash%20from%20Leo%20C.%20Rosten%22","FDR Library via NARA Catalog, Philleo Nash Papers, Office of War Information Files, Rumors memoranda for editors and publishers, NAID 509549657."
"CHR-006","DOC50-042","1942-12-01","1942-1945","Creating War Information","White House OWI oversight and intelligence surveys","White House control","High","Folder/item source copy needed","FDR Library / NARA Catalog","President's Secretary's File","NAID 16609748","Office of War Information confidential file","White House control cluster; use before or beside agency records when FDR routing or oversight is visible.","Pull folder-level source copies and identify FDR action, White House routing, or relation to State/OWI decisions.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-008","DKT-001; DKT-005; DKT-008; DKT-007","https://catalog.archives.gov/id/16609748","https://history.state.gov/search?q=%22Office%20of%20War%20Information%20confidential%20file%22","FDR Library via NARA Catalog, President's Secretary's File, Confidential Files, Office of War Information, NAID 16609748."
"CHR-007","DOC50-045","1942-12-01","December 1942","Creating War Information","White House OWI oversight and intelligence surveys","White House control","Medium","Folder/item source copy needed","FDR Library / NARA Catalog","President's Secretary's File","NAID 16620625","Office of War Information - Survey of Intelligence, December 1942","White House control cluster; use before or beside agency records when FDR routing or oversight is visible.","Pull folder-level source copies and identify FDR action, White House routing, or relation to State/OWI decisions.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-008","DKT-001; DKT-005; DKT-008; DKT-007","https://catalog.archives.gov/id/16620625","https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20December%201942%22","FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, December 1942, NAID 16620625."
"CHR-008","DOC50-047","1943-04-30","October 1942-April 1943","Prewar Information Policy","Rumor-control boundary review","Boundary memo","Low","Boundary ruling needed","FDR Library / NARA Catalog","Philleo Nash Papers","NAID 509549751","Letter to Warren B. Walsh from Leo C. Rosten, with attachments","Domestic morale boundary check; promote only if foreign-audience or State policy consequence appears.","Review the source copy for foreign-audience, overseas information, State policy, or White House public-line control before any promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-009","DKT-001; DKT-005; DKT-008","https://catalog.archives.gov/id/509549751","https://history.state.gov/search?q=%22Letter%20to%20Warren%20B.%20Walsh%20from%20Leo%20C.%20Rosten%22","FDR Library via NARA Catalog, Philleo Nash Papers, Office of War Information Files, Rumors-Syracuse University Rumor Clinic, NAID 509549751."
"CHR-009","DOC50-019","1943-05-01","May 1943","OWI Overseas and VOA","Poland weekly propaganda directive boundary test","Policy guidance","Critical","Source copy needed","NARA","RG 208","NAID 6851138","Weekly Propaganda Directive: Poland","Boundary appendix or hold unless State/OWI diplomatic policy significance is proven.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/6851138","https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%3A%20Poland%22","NARA RG 208, Records of the Office of War Information, Record Set of Policy Directives, Regional Directives-May 1943, NAID 6851138."
"CHR-010","DOC50-031","1943-09-01","September 1943-June 1944","Creating War Information","Allied and interagency directive coordination","Policy coordination","High","Source copy needed","NARA","RG 208","NAID 4732416","OWI-OSS Relations","Coordination sequence after core directives; use to explain Allied, OSS, London, and Moscow boundaries.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion.","Save exact History.state.gov search, broad topical search, checked date, result count, and duplicate ruling.","PULL-004","DKT-001; DKT-005; DKT-008; DKT-004","https://catalog.archives.gov/id/4732416","https://history.state.gov/search?q=%22OWI-OSS%20Relations%22","NARA RG 208, Record Set of Policy Directives, OWI-OSS Relations-September 1943-June 1944, NAID 4732416."
