Scorecard ID,Candidate ID,Working Document Slot,Chapter Number,Chapter Title,Chapter Slot,Date,Title,Lane,Editorial Role,Priority,Work Priority Score,Final Readiness Score,Readiness Tier,Open Gate Count,Open Gates,Main Blocker,Compiler Queue Rank,Earliest Useful Action,Next 30 Minute Task,Next Archive Task,Next Desk Task,Source Copy Status,Receipt QA Status,Duplicate Status,Citation Status,Selection Status,Boundary Status,Annotation Status,Promotion Recommendation,Annotation Type,Episode IDs,Episode Titles,Episode Promotion Tests,Cross References To Other Candidates,Repository,Record Group Or Collection,Source Locator,Suggested Source Folder,Related Pull Sheets,Related Docket,Request Work Blocks,Catalog URL,FRUS Search URL,Reviewer,Review Date,Notes
READY-001,DOC50-019,WDS-009,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S01,May 1943,Weekly Propaganda Directive: Poland,OWI Overseas and VOA,Policy guidance,Critical,59,18,Tier 1 - critical source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,1,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 6851138 is in the next archive batch.,"When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Weekly%20Propaganda%20Poland%20Office%20of%20War%20Information%20directive%201943 result count and final duplicate ruling.,Needed,"Priority review after source-copy QA clears citation, duplicate, authority, evidence, and boundary gates.",Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Priority promotion review after source copy,Policy headnote,EPI-004,"Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance",EPI-004: Promote policy directives only after one State or post record shows why the theme mattered diplomatically.,DOC50-026; DOC50-025; DOC50-030; DOC50-037,NARA,RG 208,NAID 6851138,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/6851138,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%3A%20Poland%22,"","",""
READY-002,DOC50-020,WDS-048,5,"Peace Aims, Occupation Guidance, and State Handoff",CH5-S04,"April 26, 1945",Basic Policy Directive for Information in Germany,Peace Aims and Handoff,Policy guidance,Critical,59,18,Tier 1 - critical source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,2,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 4732380 is in the next archive batch.,"When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Basic%20Policy%20Germany%20Office%20of%20War%20Information%20directive%201945 result count and final duplicate ruling.,Needed,"Priority review after source-copy QA clears citation, duplicate, authority, evidence, and boundary gates.",Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Priority promotion review after source copy,Policy headnote,EPI-005; EPI-012,Germany occupation information policy and basic themes | State handoff and final wartime information transfer,"EPI-005: Promote as chapter spine only when source copies show policy authority and a postwar/occupation handoff link. | EPI-012: Include only termination, transfer, or immediate-continuity documents that explain wartime decisions and stop before the postwar volume takes over.",DOC50-022; DOC50-021; DOC50-036,NARA,RG 208,NAID 4732380,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732380,https://history.state.gov/search?q=%22Basic%20Policy%20Directive%20for%20Information%20in%20Germany%22,"","",""
READY-003,DOC50-021,WDS-049,5,"Peace Aims, Occupation Guidance, and State Handoff",CH5-S05,"May 29, 1945",Directive on Basic Themes for Output to Germany,Peace Aims and Handoff,Policy guidance,Critical,59,18,Tier 1 - critical source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,3,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 4732379 is in the next archive batch.,"When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Basic%20Themes%20Output%20Germany%20Office%20of%20War%20Information%20directive%201945 result count and final duplicate ruling.,Needed,"Priority review after source-copy QA clears citation, duplicate, authority, evidence, and boundary gates.",Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Priority promotion review after source copy,Policy headnote,EPI-005; EPI-012,Germany occupation information policy and basic themes | State handoff and final wartime information transfer,"EPI-005: Promote as chapter spine only when source copies show policy authority and a postwar/occupation handoff link. | EPI-012: Include only termination, transfer, or immediate-continuity documents that explain wartime decisions and stop before the postwar volume takes over.",DOC50-022; DOC50-020; DOC50-036,NARA,RG 208,NAID 4732379,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732379,https://history.state.gov/search?q=%22Directive%20on%20Basic%20Themes%20for%20Output%20to%20Germany%22,"","",""
READY-004,DOC50-014,WDS-026,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S16,"September 2, 1944",Naples telegram on the present state of OWI thinking with regard to Balkan affairs,OWI Overseas and VOA,State cable / implementation,Critical,49,18,Tier 1 - critical source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,4,Send or batch PULL-001; save source copy to BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch; then run receipt QA.,"Open PULL-001 request row and confirm 103.9166/9-244; M973 roll 607, image 0600 is in the next archive batch.","When source copy arrives from PULL-001, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Naples%20telegram%20present%20state%20thinking%20regard%20Balkan%20OWI%20State%201944 result count and final duplicate ruling.,Needed,"Priority review after source-copy QA clears citation, duplicate, authority, evidence, and boundary gates.",Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Priority promotion review after source copy,Implementation annotation,EPI-006,"Neutral Europe, Italy, Balkan, and Iberian implementation","EPI-006: Promote cables that show diplomatic implementation, not routine forwarding of OWI material.",DOC50-027; DOC50-029; DOC50-034; DOC50-011; DOC50-015; DOC50-017; DOC50-038; DOC50-039; DOC50-040,NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,TRIP-001: First archive pass: RG 59 Central Decimal source copies,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22OWI%27s%20thinking%22%20%22Balkan%20affairs%22,"","",""
READY-005,DOC50-015,WDS-027,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S17,"September 2, 1944",Switzerland telegram submitting suggestions for Allied propaganda for Italy,OWI Overseas and VOA,State cable / implementation,Critical,49,18,Tier 1 - critical source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,5,Send or batch PULL-001; save source copy to BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch; then run receipt QA.,"Open PULL-001 request row and confirm 103.9166/9-244; M973 roll 607, image 0600 is in the next archive batch.","When source copy arrives from PULL-001; PULL-006, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Switzerland%20telegram%20submitting%20suggestions%20Allied%20propaganda%20Italy%20OWI%20State%201944 result count and final duplicate ruling.,Needed,"Priority review after source-copy QA clears citation, duplicate, authority, evidence, and boundary gates.",Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Priority promotion review after source copy,Implementation annotation,EPI-006,"Neutral Europe, Italy, Balkan, and Iberian implementation","EPI-006: Promote cables that show diplomatic implementation, not routine forwarding of OWI material.",DOC50-027; DOC50-029; DOC50-034; DOC50-011; DOC50-014; DOC50-017; DOC50-038; DOC50-039; DOC50-040,NARA,RG 59,"103.9166/9-244; M973 roll 607, image 0600",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,TRIP-001: First archive pass: RG 59 Central Decimal source copies,https://catalog.archives.gov/id/88176221,https://history.state.gov/search?q=%22suggestions%20for%20allied%20propaganda%20for%20Italy%22,"","",""
READY-006,DOC50-041,WDS-001,2,Creating War Information and White House Control,CH2-S01,1942-1944,"Office of War Information, 1942-1944",Creating War Information,White House control,High,41,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,6,Send or batch PULL-008; save source copy to BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet; then run receipt QA.,Open PULL-008 request row and confirm NAID 16620603 is in the next archive batch.,"When source copy arrives from PULL-008, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=1942-1944%20Office%20of%20War%20Information%201942 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-001,White House control and OWI creation files,"EPI-001: Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",DOC50-042; DOC50-043; DOC50-044; DOC50-045,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620603,BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,TRIP-008: FDR Library pass: White House and Philleo Nash folder source copies,https://catalog.archives.gov/id/16620603,https://history.state.gov/search?q=%22Office%20of%20War%20Information%2C%201942-1944%22,"","",""
READY-007,DOC50-042,WDS-006,2,Creating War Information and White House Control,CH2-S04,1942-1945,Office of War Information confidential file,Creating War Information,White House control,High,41,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,7,Send or batch PULL-008; save source copy to BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet; then run receipt QA.,Open PULL-008 request row and confirm NAID 16609748 is in the next archive batch.,"When source copy arrives from PULL-008, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=confidential%20Office%20of%20War%20Information%201942 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-001,White House control and OWI creation files,"EPI-001: Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",DOC50-041; DOC50-043; DOC50-044; DOC50-045,FDR Library / NARA Catalog,President's Secretary's File,NAID 16609748,BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,TRIP-008: FDR Library pass: White House and Philleo Nash folder source copies,https://catalog.archives.gov/id/16609748,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20confidential%20file%22,"","",""
READY-008,DOC50-026,WDS-035,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S19,"October 28, 1944",Long-Range Directive for Czechoslovakia,OWI Overseas and VOA,Policy guidance,High,41,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,8,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 4732375 is in the next archive batch.,"When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Long-Range%20Czechoslovakia%20Office%20of%20War%20Information%20directive%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-004,"Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance",EPI-004: Promote policy directives only after one State or post record shows why the theme mattered diplomatically.,DOC50-019; DOC50-025; DOC50-030; DOC50-037,NARA,RG 208,NAID 4732375,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732375,https://history.state.gov/search?q=%22Long-Range%20Directive%20for%20Czechoslovakia%22,"","",""
READY-009,DOC50-022,WDS-040,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S22,"December 5, 1944",Long Range Directive for Germany,OWI Overseas and VOA,Policy guidance,High,41,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,9,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 4732381 is in the next archive batch.,"When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Long%20Range%20Germany%20Office%20of%20War%20Information%20directive%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-005,Germany occupation information policy and basic themes,EPI-005: Promote as chapter spine only when source copies show policy authority and a postwar/occupation handoff link.,DOC50-020; DOC50-021; DOC50-036,NARA,RG 208,NAID 4732381,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732381,https://history.state.gov/search?q=%22Long%20Range%20Directive%20for%20Germany%22%20%221944%22,"","",""
READY-010,DOC50-027,WDS-042,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S24,"December 6, 1944",Long-Range Guidance-Switzerland,OWI Overseas and VOA,Policy guidance,High,41,10,Tier 2 - high-value source-copy pull,9,source copy; receipt QA; duplicate proof; citation; selection decision; authority; episode evidence; boundary; annotation draft,Source copy not received,10,Send or batch PULL-003; save source copy to BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch; then run receipt QA.,Open PULL-003 request row and confirm NAID 4732402 is in the next archive batch.,"When source copy arrives from PULL-003; PULL-006, run receipt QA, update citation fields, then decide promotion readiness.",Exact public FRUS screen returned 0 results on 2026-06-02; save broad search https://history.state.gov/search?q=Long-Range%20Guidance-Switzerland%20Office%20of%20War%20Information%20directive%201944 result count and final duplicate ruling.,Needed,Hold pending receipt QA and selection decision.,Exact public FRUS screen checked; broad search and final ruling still open,Pending source-copy citation,Pending review,Not yet ruled,source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,Hold pending source-copy and duplicate proof,Policy headnote,EPI-006,"Neutral Europe, Italy, Balkan, and Iberian implementation","EPI-006: Promote cables that show diplomatic implementation, not routine forwarding of OWI material.",DOC50-029; DOC50-034; DOC50-011; DOC50-014; DOC50-015; DOC50-017; DOC50-038; DOC50-039; DOC50-040,NARA,RG 208,NAID 4732402,BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,TRIP-003: Second archive pass: RG 208 OWI directive and coordination source copies,https://catalog.archives.gov/id/4732402,https://history.state.gov/search?q=%22Long-Range%20Guidance-Switzerland%22,"","",""
