Duplicate ID,Candidate ID,Chronology ID,Priority,Duplicate Risk,Recommended Ruling,Lane,Date,Title,Repository,Record Group,Source Locator,Exact Search URL,Exact Result Count,Broad Search Query,Broad Search URL,Broad Result Count,Checked Date,Duplicate Status,Final Ruling,Compiler Notes,Audit Task,Related Pull Sheets,Related Docket,Catalog URL,Source Note
DUP-001,DOC50-041,CHR-001,High,Medium duplicate risk,Unchecked - proof required before promotion,Creating War Information,1942-1944,"Office of War Information, 1942-1944",FDR Library / NARA Catalog,President's Secretary's File,NAID 16620603,https://history.state.gov/search?q=%22Office%20of%20War%20Information%2C%201942-1944%22,0,1942-1944 Office of War Information 1942,https://history.state.gov/search?q=1942-1944%20Office%20of%20War%20Information%201942,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,https://catalog.archives.gov/id/16620603,"Source: Franklin D. Roosevelt Library, President's Secretary's File, Subject Files, Office of War Information, 1942-1944, NAID 16620603."
DUP-002,DOC50-048,CHR-002,High,Medium duplicate risk,Hold until item-level duplicate check,Hemisphere and Cultural Exchange,1942,Radio Reaction Reports,NARA,RG 229,NAID 782735,https://history.state.gov/search?q=%22Radio%20Reaction%20Reports%22%20%22Inter-American%22,0,Radio Reaction Inter-American Affairs radio 1942,https://history.state.gov/search?q=Radio%20Reaction%20Inter-American%20Affairs%20radio%201942,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,https://catalog.archives.gov/id/782735,"Source: National Archives, RG 229, Records of the Office of the Coordinator of Inter-American Affairs, Department of Information, Radio Division, Radio Reaction Reports, NAID 782735."
DUP-003,DOC50-043,CHR-003,Medium,Low duplicate risk,Unchecked - proof required before promotion,Creating War Information,June 1942,"Office of War Information - Survey of Intelligence, June 1942",FDR Library / NARA Catalog,President's Secretary's File,NAID 16620611,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20June%201942%22,0,Survey Intelligence June 1942 Office of War Information 1942,https://history.state.gov/search?q=Survey%20Intelligence%20June%201942%20Office%20of%20War%20Information%201942,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,https://catalog.archives.gov/id/16620611,"Source: Franklin D. Roosevelt Library, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, June 1942, NAID 16620611."
DUP-004,DOC50-044,CHR-004,Medium,Low duplicate risk,Unchecked - proof required before promotion,Creating War Information,August 1942,"Office of War Information - Survey of Intelligence, August 1942",FDR Library / NARA Catalog,President's Secretary's File,NAID 16620616,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20August%201942%22,0,Survey Intelligence August 1942 Office of War Information 1942,https://history.state.gov/search?q=Survey%20Intelligence%20August%201942%20Office%20of%20War%20Information%201942,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,https://catalog.archives.gov/id/16620616,"Source: Franklin D. Roosevelt Library, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, August 1942, NAID 16620616."
DUP-005,DOC50-046,CHR-005,Medium,Boundary duplicate risk,Hold until boundary and duplicate checks clear,Prewar Information Policy,"November 19, 1942","Memorandum to Philleo Nash from Leo C. Rosten, with attachment",FDR Library / NARA Catalog,Philleo Nash Papers,NAID 509549657,https://history.state.gov/search?q=%22Memorandum%20to%20Philleo%20Nash%20from%20Leo%20C.%20Rosten%22,0,Memorandum Philleo Nash Rosten attachment Office of War Information 1942,https://history.state.gov/search?q=Memorandum%20Philleo%20Nash%20Rosten%20attachment%20Office%20of%20War%20Information%201942,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-009,DKT-001; DKT-005; DKT-008,https://catalog.archives.gov/id/509549657,"Source: Franklin D. Roosevelt Library, Philleo Nash Papers, Office of War Information Files, Rumors memoranda for editors and publishers, NAID 509549657."
DUP-006,DOC50-042,CHR-006,High,Medium duplicate risk,Unchecked - proof required before promotion,Creating War Information,1942-1945,Office of War Information confidential file,FDR Library / NARA Catalog,President's Secretary's File,NAID 16609748,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20confidential%20file%22,0,confidential Office of War Information 1942,https://history.state.gov/search?q=confidential%20Office%20of%20War%20Information%201942,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,https://catalog.archives.gov/id/16609748,"Source: Franklin D. Roosevelt Library, President's Secretary's File, Confidential Files, Office of War Information, NAID 16609748."
DUP-007,DOC50-045,CHR-007,Medium,Low duplicate risk,Unchecked - proof required before promotion,Creating War Information,December 1942,"Office of War Information - Survey of Intelligence, December 1942",FDR Library / NARA Catalog,President's Secretary's File,NAID 16620625,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20December%201942%22,0,Survey Intelligence December 1942 Office of War Information 1942,https://history.state.gov/search?q=Survey%20Intelligence%20December%201942%20Office%20of%20War%20Information%201942,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,https://catalog.archives.gov/id/16620625,"Source: Franklin D. Roosevelt Library, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, December 1942, NAID 16620625."
DUP-008,DOC50-047,CHR-008,Low,Boundary duplicate risk,Hold until boundary and duplicate checks clear,Prewar Information Policy,October 1942-April 1943,"Letter to Warren B. Walsh from Leo C. Rosten, with attachments",FDR Library / NARA Catalog,Philleo Nash Papers,NAID 509549751,https://history.state.gov/search?q=%22Letter%20to%20Warren%20B.%20Walsh%20from%20Leo%20C.%20Rosten%22,0,Letter Warren Walsh Rosten attachments Office of War Information 1942,https://history.state.gov/search?q=Letter%20Warren%20Walsh%20Rosten%20attachments%20Office%20of%20War%20Information%201942,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-009,DKT-001; DKT-005; DKT-008,https://catalog.archives.gov/id/509549751,"Source: Franklin D. Roosevelt Library, Philleo Nash Papers, Office of War Information Files, Rumors-Syracuse University Rumor Clinic, NAID 509549751."
DUP-009,DOC50-019,CHR-009,Critical,High duplicate risk,Unchecked - proof required before promotion,OWI Overseas and VOA,May 1943,Weekly Propaganda Directive: Poland,NARA,RG 208,NAID 6851138,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%3A%20Poland%22,0,Weekly Propaganda Poland Office of War Information directive 1943,https://history.state.gov/search?q=Weekly%20Propaganda%20Poland%20Office%20of%20War%20Information%20directive%201943,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,"",DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/6851138,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, Regional Directives-May 1943, NAID 6851138."
DUP-010,DOC50-031,CHR-010,High,Medium duplicate risk,Unchecked - proof required before promotion,Creating War Information,September 1943-June 1944,OWI-OSS Relations,NARA,RG 208,NAID 4732416,https://history.state.gov/search?q=%22OWI-OSS%20Relations%22,0,OWI-OSS Relations Office of War Information directive 1943,https://history.state.gov/search?q=OWI-OSS%20Relations%20Office%20of%20War%20Information%20directive%201943,"",2026-06-02,Exact public FRUS screen checked; broad search and final ruling still open,"","Exact History.state.gov title/file-number screen returned no public result on 2026-06-02. Do not promote until broad search count, source-copy review, and final duplicate ruling are complete.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; save broad topical search result count and final duplicate ruling before promotion.,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,https://catalog.archives.gov/id/4732416,"Source: National Archives, RG 208, Records of the Office of War Information, Record Set of Policy Directives, OWI-OSS Relations-September 1943-June 1944, NAID 4732416."
