Candidate ID,Priority,Candidate Status,Lane,Date,Repository,Record Group Or Collection,Source Locator,Title,Document Type,Candidate Value,Existing FRUS Exact Screen,History.state.gov Check URL,NARA Or FDR Catalog URL,Source Note,Source Copy Status,Duplicate Status,Boundary Ruling,Related Pull Sheets,Related Packet ID,Related Duplicate ID,Related Citation ID,Related Readiness ID,Next Compiler Action
DOC50-001,High,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,"September 9-11, 1944",NARA,RG 59,"103.9161/9-944; M973 roll 607, image 0095",CIAA circular announcing morning and noon Spanish-language shortwave service,Circular telegram,"Shows State/CIAA use of diplomatic posts to announce new Spanish-language shortwave service beginning September 12, 1944.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22103.9161%2F9-944%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, 7/1944-12/1944: 103.91602/4-1544 - 103.9166/12-3144, NAID 88176221, M973-607-0095.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-002; PULL-007,PKT-001,DUP-029,CITE-029,READY-029,"Open PULL-002; PULL-007 request row and confirm 103.9161/9-944; M973 roll 607, image 0095 is in the next archive batch."
DOC50-002,High,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,"September 21, 1944",NARA,RG 59,"103.9161/9-2144; M973 roll 607, image 0100",Dominican Republic report that WNBI broadcasts were excellent but reception varied by date,Incoming telegram,Supplies foreign reception evidence for shortwave broadcasting in the American republics.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22103.9161%2F9-2144%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-002; PULL-007,PKT-002,DUP-030,CITE-030,READY-030,"Open PULL-002; PULL-007 request row and confirm 103.9161/9-2144; M973 roll 607, image 0100 is in the next archive batch."
DOC50-003,Medium,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,"September 22, 1944",NARA,RG 59,"103.9161/9-2244; M973 roll 607, image 0100",Circular to diplomatic officers requesting replies to a motion-picture questionnaire,Circular telegram,Documents State/CIAA measurement of motion-picture work through posts.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22103.9161%2F9-2244%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-002; PULL-007,PKT-003,DUP-032,CITE-032,READY-042,"Open PULL-002; PULL-007 request row and confirm 103.9161/9-2244; M973 roll 607, image 0100 is in the next archive batch."
DOC50-004,High,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,"October 20, 1944",NARA,RG 59,"103.9161/10-2044; M973 roll 607, image 0110",Colombia telegram listing latest CIAA program numbers and expiration dates,Incoming telegram,Links post reporting to radio/transcription program control in Latin America.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22103.9161%2F10-2044%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0110.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-002; PULL-007,PKT-004,DUP-033,CITE-033,READY-031,"Open PULL-002; PULL-007 request row and confirm 103.9161/10-2044; M973 roll 607, image 0110 is in the next archive batch."
DOC50-005,Medium,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,"October 20, 1944",NARA,RG 59,"103.9161/10-2044; M973 roll 607, image 0110",Chile telegram reporting that no CIAA transcriptions were then in use,Incoming telegram,Useful negative evidence for measuring uneven radio/transcription implementation by post.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22103.9161%2F10-2044%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0110.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-002; PULL-007,PKT-005,DUP-034,CITE-034,READY-043,"Open PULL-002; PULL-007 request row and confirm 103.9161/10-2044; M973 roll 607, image 0110 is in the next archive batch."
DOC50-006,High,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,"November 21, 1944",NARA,RG 59,"103.9161/11-2144; M973 roll 607, image 0120",Circular transmitting changes in the English shortwave schedule,Circular telegram,Shows posts being used to distribute radio schedule changes for foreign audiences.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22English%20short%20wave%20schedule%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0120.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-002; PULL-007,PKT-006,DUP-039,CITE-039,READY-033,"Open PULL-002; PULL-007 request row and confirm 103.9161/11-2144; M973 roll 607, image 0120 is in the next archive batch."
DOC50-007,High,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,"November 20, 1944",NARA,RG 59,"103.9161/11-2044; M973 roll 607, image 0120",Brazil telegram on proposed Hemisphere information service through CIAA,Incoming telegram,Potential policy-level evidence for a hemispheric information service and U.S. personality/background material.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Hemisphere%20information%20service%22%20CIAA,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0120.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-002; PULL-007,PKT-007,DUP-037,CITE-037,READY-032,"Open PULL-002; PULL-007 request row and confirm 103.9161/11-2044; M973 roll 607, image 0120 is in the next archive batch."
DOC50-008,Medium,Candidate - not found in FRUS,Hemisphere and Cultural Exchange,"September 21, 1944",NARA,RG 59,"103.9161/9-2144; M973 roll 607, image 0100",Costa Rica telegram enclosing Nelson Rockefeller message for Teodoro Picado,Outgoing telegram,Potential State/CIAA diplomatic-message example tied to the Coordinator's use of posts.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22Teodoro%20Picado%22%20%22Rockefeller%22%20%221944%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0100.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-002; PULL-007,PKT-008,DUP-031,CITE-031,READY-041,"Open PULL-002; PULL-007 request row and confirm 103.9161/9-2144; M973 roll 607, image 0100 is in the next archive batch."
DOC50-009,Medium,Candidate - not found in FRUS,OWI Overseas and VOA,"July 10, 1944",NARA,RG 59,"103.9166/7-1044; M973 roll 607, image 0500",Dakar telegram to Motion Picture Radio Division advising United Newsreel 108 arrived,Incoming telegram,Shows overseas distribution and receipt of OWI motion-picture/newsreel material.,No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22United%20Newsreel%20108%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-001,PKT-009,DUP-022,CITE-022,READY-038,"Open PULL-001 request row and confirm 103.9166/7-1044; M973 roll 607, image 0500 is in the next archive batch."
DOC50-010,High,Candidate - not found in FRUS,OWI Overseas and VOA,"July 8, 1944",NARA,RG 59,"103.9166/7-844; M973 roll 607, image 0500",The Iceland Outpost: Analysis of an Informational Operation,Report,"A named OWI outpost analysis, useful for moving the volume beyond Washington organization history.",No public History.state.gov exact-title/file-number results found; verified 2026-06-02. Final duplicate ruling still required before promotion.,https://history.state.gov/search?q=%22The%20Iceland%20Outpost%22,https://catalog.archives.gov/id/88176221,"NARA RG 59, Purport Lists and Cards, NAID 88176221, M973-607-0500.",Needed,Unchecked,Unchecked - proof required before promotion,PULL-001,PKT-010,DUP-020,CITE-020,READY-023,"Open PULL-001 request row and confirm 103.9166/7-844; M973 roll 607, image 0500 is in the next archive batch."
