Pull Plan ID,Request ID,Work Block,Work Block Title,Priority,Repository,Facility Or Service Path,Request Title,Request Status,Candidate IDs,Candidate Count,Related Episode IDs,Related Episode Titles,Working Document Slots,Assembly IDs,Citation IDs,Pull Sheet IDs,Related Docket,Pull List,Request Text,Capture Checklist,Citation Fields To Resolve,Episode Evidence Need,Access Or Restriction Check,Copy Format,Exit Criteria,Suggested Folder Name,Source Copy Destination,Date Requested,Date Received,Follow Up Needed,Compiler Owner,Notes
TRIP-001,PULL-001,BLOCK-01,First archive pass: RG 59 Central Decimal source copies,Critical,NARA,NARA RG 59 Central Decimal Files pull and reproduction queue,RG 59 OWI 103.9166 purport-card source-copy batch,Draft,DOC50-009; DOC50-010; DOC50-011; DOC50-012; DOC50-013; DOC50-014; DOC50-015; DOC50-016; DOC50-017; DOC50-018,10,EPI-008; EPI-007; EPI-006,"Global outpost implementation in Africa, Pacific, New Zealand, and Thailand | Britain, Iceland, and Atlantic information-center operations | Neutral Europe, Italy, Balkan, and Iberian implementation",WDS-022; WDS-020; WDS-021; WDS-023; WDS-024; WDS-026; WDS-027; WDS-028; WDS-036; WDS-041,ASM-022; ASM-020; ASM-021; ASM-023; ASM-024; ASM-026; ASM-027; ASM-028; ASM-036; ASM-041,CITE-022; CITE-020; CITE-021; CITE-023; CITE-024; CITE-026; CITE-027; CITE-028; CITE-036; CITE-041,PULL-001,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006,"DOC50-009 through DOC50-018; especially Balkan affairs, Allied propaganda for Italy, Central Directive from OWI, Iceland Outpost, Manchester Information Center, Las Palmas broadcasts, and New Zealand informational activities.","Request RG 59 Central Decimal Files source copies for 1944 files 103.9166/7-844, 103.9166/7-944, 103.9166/7-1044, 103.9166/8-844, 103.9166/9-244, 103.9166/10-3144, and 103.9166/12-644, identified through Purport Lists and Cards, NAID 88176221, M973 roll 607 images 0500, 0550, 0600, 0700, and 0750.",repository/record group/collection; series or file-unit title; box/folder or NAID; document date; author/post; recipient; classification and routing marks; full source-copy image/page range; enclosures and marginalia; final source-note text; Central Decimal file number; purport-card image reference; underlying file document confirmation,underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,EPI-008: Reaction layer and local post-file corroboration are missing. | EPI-007: Policy source and reaction evidence need to be paired with the implementation records. | EPI-006: Reaction and local post-file evidence are missing; RG 165 directive rows need selection/boundary decisions.,"Confirm NARA availability, series/file-unit access status, reproduction path, and any restriction note before relying on the row.",Digital images or high-resolution PDF preferred; preserve original filenames and page order; record any archive-supplied citation exactly.,"Each requested row has source-copy images or reproduction instructions, missing citation fields listed, related episode noted, and next selection decision assigned.",BLOCK-01 - PULL-001 - RG 59 OWI 103.9166 purport-card source-copy batch,,,,,"",
TRIP-002,PULL-002,BLOCK-01,First archive pass: RG 59 Central Decimal source copies,Critical,NARA,NARA RG 59 Central Decimal Files pull and reproduction queue,RG 59 CIAA/OIAA 103.9161 purport-card source-copy batch,Draft,DOC50-001; DOC50-002; DOC50-003; DOC50-004; DOC50-005; DOC50-006; DOC50-007; DOC50-008,8,EPI-009,"CIAA/OIAA radio, film, and post implementation in Latin America",WDS-029; WDS-030; WDS-032; WDS-033; WDS-034; WDS-039; WDS-037; WDS-031,ASM-029; ASM-030; ASM-032; ASM-033; ASM-034; ASM-039; ASM-037; ASM-031,CITE-029; CITE-030; CITE-032; CITE-033; CITE-034; CITE-039; CITE-037; CITE-031,PULL-002,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,"DOC50-001 through DOC50-008; prioritize Spanish-language shortwave service, WNBI reception, motion-picture questionnaire, program numbers, English shortwave schedule, Hemisphere information service, and Rockefeller-Picado message.","Request RG 59 Central Decimal Files source copies for 1944 files 103.9161/9-944, 103.9161/9-2144, 103.9161/9-2244, 103.9161/10-2044, 103.9161/11-2044, 103.9161/11-2144, and 103.9161/12-644, identified through Purport Lists and Cards, NAID 88176221, M973 roll 607 images 0095, 0100, 0110, 0120, and 0125.",repository/record group/collection; series or file-unit title; box/folder or NAID; document date; author/post; recipient; classification and routing marks; full source-copy image/page range; enclosures and marginalia; final source-note text; Central Decimal file number; purport-card image reference; underlying file document confirmation,underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference,EPI-009: RG 84 post corroboration and RG 229 program files are needed; Picado authority normalization needed if selected.,"Confirm NARA availability, series/file-unit access status, reproduction path, and any restriction note before relying on the row.",Digital images or high-resolution PDF preferred; preserve original filenames and page order; record any archive-supplied citation exactly.,"Each requested row has source-copy images or reproduction instructions, missing citation fields listed, related episode noted, and next selection decision assigned.",BLOCK-01 - PULL-002 - RG 59 CIAA-OIAA 103.9161 purport-card source-copy batch,,,,,"",
TRIP-003,PULL-003,BLOCK-02,Second archive pass: RG 208 OWI directive and coordination source copies,Critical,NARA,NARA RG 208 Office of War Information textual pull and reproduction queue,RG 208 long-range policy directive batch,Draft,DOC50-019; DOC50-020; DOC50-021; DOC50-022; DOC50-023; DOC50-024; DOC50-025; DOC50-026; DOC50-027; DOC50-028; DOC50-035,11,EPI-004; EPI-005; EPI-006; EPI-008; EPI-011; EPI-012,"Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance | Germany occupation information policy and basic themes | Neutral Europe, Italy, Balkan, and Iberian implementation | Global outpost implementation in Africa, Pacific, New Zealand, and Thailand | Liberation, Netherlands, France, Austria, Poland, and peace-aims guidance | State handoff and final wartime information transfer",WDS-009; WDS-048; WDS-049; WDS-040; WDS-047; WDS-046; WDS-045; WDS-035; WDS-042; WDS-038; WDS-044,ASM-009; ASM-048; ASM-049; ASM-040; ASM-047; ASM-046; ASM-045; ASM-035; ASM-042; ASM-038; ASM-044,CITE-009; CITE-048; CITE-049; CITE-040; CITE-047; CITE-046; CITE-045; CITE-035; CITE-042; CITE-038; CITE-044,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"DOC50-019 through DOC50-028 and DOC50-035; place Poland 1943/1945, Germany 1944/1945, France, Austria, Czechoslovakia, Switzerland, Netherlands, and Thailand directives in one comparison packet.","Request RG 208 Record Set of Policy Directives source copies for NAIDs 6851138, 4732380, 4732379, 4732381, 4732378, 4732367, 4732395, 4732375, 4732402, 4732392, and 4732400.",repository/record group/collection; series or file-unit title; box/folder or NAID; document date; author/post; recipient; classification and routing marks; full source-copy image/page range; enclosures and marginalia; final source-note text; issuing OWI office; directive number/title if present; target country/audience; paired implementation or reaction ID,series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,EPI-004: Reaction and State-policy evidence are missing; RG 165 directive row needs boundary ruling. | EPI-005: Implementation and reaction evidence are missing; War Department directive row needs boundary proof. | EPI-006: Reaction and local post-file evidence are missing; RG 165 directive rows need selection/boundary decisions. | EPI-008: Reaction layer and local post-file corroboration are missing. | EPI-011: Implementation and reaction documents are not yet identified. | EPI-012: Direct State handoff records are still thin in the candidate set.,"Confirm NARA availability, series/file-unit access status, reproduction path, and any restriction note before relying on the row.",Digital images or high-resolution PDF preferred; preserve original filenames and page order; record any archive-supplied citation exactly.,"Each requested row has source-copy images or reproduction instructions, missing citation fields listed, related episode noted, and next selection decision assigned.",BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,,,,,"",
TRIP-004,PULL-004,BLOCK-02,Second archive pass: RG 208 OWI directive and coordination source copies,High,NARA,NARA RG 208 Office of War Information textual pull and reproduction queue,"RG 208 special guidances, London/Moscow cables, OWI-OSS, and PWE crosswalk",Draft,DOC50-029; DOC50-030; DOC50-031; DOC50-032; DOC50-033; DOC50-034,6,EPI-003; EPI-006; EPI-007; EPI-004; EPI-008,"OWI, OSS, PWE, London, and Allied directive coordination | Neutral Europe, Italy, Balkan, and Iberian implementation | Britain, Iceland, and Atlantic information-center operations | Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance | Global outpost implementation in Africa, Pacific, New Zealand, and Thailand",WDS-019; WDS-011; WDS-010; WDS-013; WDS-017; WDS-025,ASM-019; ASM-011; ASM-010; ASM-013; ASM-017; ASM-025,CITE-019; CITE-011; CITE-010; CITE-013; CITE-017; CITE-025,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,"DOC50-029 through DOC50-034; include London policy directives, Moscow cables on directives, OWI-OSS Relations, Political Warfare Executive Central Directives, Central Directives May-June 1944, and Regional Directives September 1944.","Request RG 208 Record Set of Policy Directives source copies for NAIDs 4732414, 4732413, 4732416, 4732424, 4732319, and 4732351.",repository/record group/collection; series or file-unit title; box/folder or NAID; document date; author/post; recipient; classification and routing marks; full source-copy image/page range; enclosures and marginalia; final source-note text; issuing OWI office; directive number/title if present; target country/audience; paired implementation or reaction ID,series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,EPI-003: State clearance and post reaction are missing; Allied/PWE rows need U.S. source-copy anchors. | EPI-006: Reaction and local post-file evidence are missing; RG 165 directive rows need selection/boundary decisions. | EPI-007: Policy source and reaction evidence need to be paired with the implementation records. | EPI-004: Reaction and State-policy evidence are missing; RG 165 directive row needs boundary ruling. | EPI-008: Reaction layer and local post-file corroboration are missing.,"Confirm NARA availability, series/file-unit access status, reproduction path, and any restriction note before relying on the row.",Digital images or high-resolution PDF preferred; preserve original filenames and page order; record any archive-supplied citation exactly.,"Each requested row has source-copy images or reproduction instructions, missing citation fields listed, related episode noted, and next selection decision assigned.",BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,,,,,"",
TRIP-005,PULL-005,BLOCK-03,Third archive pass: RG 84 European and neutral post-file corroboration,High,NARA,NARA RG 84 Foreign Service post-file pull and reproduction queue,RG 84 London post-file crosscheck,Draft,DOC50-012; DOC50-013; DOC50-029; DOC50-032,4,EPI-007; EPI-003; EPI-006,"Britain, Iceland, and Atlantic information-center operations | OWI, OSS, PWE, London, and Allied directive coordination | Neutral Europe, Italy, Balkan, and Iberian implementation",WDS-023; WDS-024; WDS-019; WDS-013,ASM-023; ASM-024; ASM-019; ASM-013,CITE-023; CITE-024; CITE-019; CITE-013,PULL-005,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006; DKT-004,"Use with DOC50-012, DOC50-013, DOC50-029, and DOC50-032; collect embassy reaction, clearance, or host-government evidence for the same dates.","Search RG 84 U.S. Embassy Great Britain Classified General Records, NAID 1667864, 1942-1945 folders for OWI, Office of War Information, USIS, BBC, Ministry of Information, radio, propaganda, films, press, and United Nations.",repository/record group/collection; series or file-unit title; box/folder or NAID; document date; author/post; recipient; classification and routing marks; full source-copy image/page range; enclosures and marginalia; final source-note text; post name; post-file series; host-government or audience reaction note; paired Washington policy ID,underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference; series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present,EPI-007: Policy source and reaction evidence need to be paired with the implementation records. | EPI-003: State clearance and post reaction are missing; Allied/PWE rows need U.S. source-copy anchors. | EPI-006: Reaction and local post-file evidence are missing; RG 165 directive rows need selection/boundary decisions.,"Confirm NARA availability, series/file-unit access status, reproduction path, and any restriction note before relying on the row.",Digital images or high-resolution PDF preferred; preserve original filenames and page order; record any archive-supplied citation exactly.,"Each requested row has source-copy images or reproduction instructions, missing citation fields listed, related episode noted, and next selection decision assigned.",BLOCK-03 - PULL-005 - RG 84 London post-file crosscheck,,,,,"",
TRIP-006,PULL-006,BLOCK-03,Third archive pass: RG 84 European and neutral post-file corroboration,High,NARA,NARA textual/reproduction queue,Neutral Europe post-file sweep,Draft,DOC50-011; DOC50-015; DOC50-017; DOC50-027; DOC50-038; DOC50-039,6,EPI-006,"Neutral Europe, Italy, Balkan, and Iberian implementation",WDS-021; WDS-027; WDS-036; WDS-042; WDS-014; WDS-015,ASM-021; ASM-027; ASM-036; ASM-042; ASM-014; ASM-015,CITE-021; CITE-027; CITE-036; CITE-042; CITE-014; CITE-015,PULL-006,DKT-001; DKT-005; DKT-008; DKT-002; DKT-006; DKT-004,"Pair results with DOC50-011, DOC50-015, DOC50-017, DOC50-027, DOC50-038, and DOC50-039.","Search RG 84 post files for Portugal NAIDs 1801218 and 1766818, Spain NAID 1728932, Sweden NAID 1871966, and Switzerland NAID 1884125, using OWI, USIS, radio, press, propaganda, films, censorship, and information terms for 1942-1945.",repository/record group/collection; series or file-unit title; box/folder or NAID; document date; author/post; recipient; classification and routing marks; full source-copy image/page range; enclosures and marginalia; final source-note text; post name; post-file series; host-government or audience reaction note; paired Washington policy ID,underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference; series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present,EPI-006: Reaction and local post-file evidence are missing; RG 165 directive rows need selection/boundary decisions.,"Confirm NARA availability, series/file-unit access status, reproduction path, and any restriction note before relying on the row.",Digital images or high-resolution PDF preferred; preserve original filenames and page order; record any archive-supplied citation exactly.,"Each requested row has source-copy images or reproduction instructions, missing citation fields listed, related episode noted, and next selection decision assigned.",BLOCK-03 - PULL-006 - Neutral Europe post-file sweep,,,,,"",
TRIP-007,PULL-007,BLOCK-04,Fourth archive pass: Latin America RG 84/RG 229 corroboration,High,NARA,NARA RG 229 Office of Inter-American Affairs textual pull and reproduction queue,Latin America post files plus RG 229 radio reaction,Draft,DOC50-001; DOC50-002; DOC50-003; DOC50-004; DOC50-005; DOC50-006; DOC50-007; DOC50-008; DOC50-048; DOC50-049; DOC50-050,11,EPI-009; EPI-010,"CIAA/OIAA radio, film, and post implementation in Latin America | OIAA radio operations and reaction reports",WDS-029; WDS-030; WDS-032; WDS-033; WDS-034; WDS-039; WDS-037; WDS-031; WDS-002; WDS-050; WDS-012,ASM-029; ASM-030; ASM-032; ASM-033; ASM-034; ASM-039; ASM-037; ASM-031; ASM-002; ASM-050; ASM-012,CITE-029; CITE-030; CITE-032; CITE-033; CITE-034; CITE-039; CITE-037; CITE-031; CITE-002; CITE-050; CITE-012,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,Use with DOC50-001 through DOC50-008 and DOC50-048 through DOC50-050.,"Search RG 84 Mexico NAID 1677124, Brazil NAIDs 1518696 and 1518701, Argentina NAID 1565938, Chile NAIDs 1613201 and 1613203, and Cuba NAID 1609355 for OIAA, OCIAA, CIAA, OWI, information, radio, WNBI, films, press, shortwave, and propaganda. Pull RG 229 Radio Reaction Reports NAID 782735 in parallel.",repository/record group/collection; series or file-unit title; box/folder or NAID; document date; author/post; recipient; classification and routing marks; full source-copy image/page range; enclosures and marginalia; final source-note text; post name; post-file series; host-government or audience reaction note; paired Washington policy ID,underlying Central Decimal File source copy; author/post and recipient; classification/routing stamps; enclosure status; final item image or page range; final duplicate ruling; selection rationale; evidence cross-reference; series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present,EPI-009: RG 84 post corroboration and RG 229 program files are needed; Picado authority normalization needed if selected. | EPI-010: File units must be itemized and linked to document-level policy and post evidence.,"Confirm NARA availability, series/file-unit access status, reproduction path, and any restriction note before relying on the row.",Digital images or high-resolution PDF preferred; preserve original filenames and page order; record any archive-supplied citation exactly.,"Each requested row has source-copy images or reproduction instructions, missing citation fields listed, related episode noted, and next selection decision assigned.",BLOCK-04 - PULL-007 - Latin America post files plus RG 229 radio reaction,,,,,"",
TRIP-008,PULL-008,BLOCK-05,FDR Library pass: White House and Philleo Nash folder source copies,High,FDR Library / NARA Catalog,FDR Library remote research or onsite reproduction request,FDR Library OWI White House decision packet,Draft,DOC50-041; DOC50-042; DOC50-043; DOC50-044; DOC50-045,5,EPI-001,White House control and OWI creation files,WDS-001; WDS-006; WDS-003; WDS-004; WDS-007,ASM-001; ASM-006; ASM-003; ASM-004; ASM-007,CITE-001; CITE-006; CITE-003; CITE-004; CITE-007,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"DOC50-041 through DOC50-045; extract author, recipient, routing, FDR action, and relation to State/OWI decisions.","Pull FDR Library President's Secretary's File records shown in NARA Catalog as NAIDs 16620603, 16609748, 16620611, 16620616, and 16620625, plus adjacent Survey of Intelligence months if the file structure warrants.",repository/record group/collection; series or file-unit title; box/folder or NAID; document date; author/post; recipient; classification and routing marks; full source-copy image/page range; enclosures and marginalia; final source-note text; collection; folder title; White House routing/action note; public-line or State/OWI relation,box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,EPI-001: Reaction layer and State-side control evidence are still missing.,"Confirm FDR Library reproduction options, collection access status, and folder/item availability before ordering copies.",Digital images or high-resolution PDF preferred; preserve original filenames and page order; record any archive-supplied citation exactly.,"Each requested row has source-copy images or reproduction instructions, missing citation fields listed, related episode noted, and next selection decision assigned.",BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,,,,,"",
TRIP-009,PULL-009,BLOCK-05,FDR Library pass: White House and Philleo Nash folder source copies,Medium,FDR Library / NARA Catalog,FDR Library remote research or onsite reproduction request,Philleo Nash and Leo Rosten rumor-control boundary review,Draft,DOC50-046; DOC50-047,2,EPI-002,"Domestic rumor, public-opinion, and boundary evidence",WDS-005; WDS-008,ASM-005; ASM-008,CITE-005; CITE-008,PULL-009,DKT-001; DKT-005; DKT-008,DOC50-046 and DOC50-047.,"Review digitized NARA Catalog source copies for NAIDs 509549657 and 509549751. Extract only passages that tie rumor-control guidance to foreign audiences, overseas information, State policy, or White House public-line control.",repository/record group/collection; series or file-unit title; box/folder or NAID; document date; author/post; recipient; classification and routing marks; full source-copy image/page range; enclosures and marginalia; final source-note text; collection; folder title; White House routing/action note; public-line or State/OWI relation,box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,"EPI-002: Foreign-policy connection is unproven; authority rows for Rosten, Nash, and Walsh need source-backed normalization if selected.","Confirm FDR Library reproduction options, collection access status, and folder/item availability before ordering copies.",Digital images or high-resolution PDF preferred; preserve original filenames and page order; record any archive-supplied citation exactly.,"Each row has enough source-copy evidence to promote, hold, or exclude under the boundary rules, with the reason recorded.",BLOCK-05 - PULL-009 - Philleo Nash and Leo Rosten rumor-control boundary review,,,,,"",
TRIP-010,PULL-010,BLOCK-06,Boundary pass: RG 165 propaganda directive review,Medium,NARA,NARA RG 165 War Department boundary-file textual pull and reproduction queue,RG 165 weekly propaganda directive boundary batch,Draft,DOC50-036; DOC50-037; DOC50-038; DOC50-039; DOC50-040,5,EPI-005; EPI-004; EPI-006,"Germany occupation information policy and basic themes | Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance | Neutral Europe, Italy, Balkan, and Iberian implementation",WDS-018; WDS-043; WDS-014; WDS-015; WDS-016,ASM-018; ASM-043; ASM-014; ASM-015; ASM-016,CITE-018; CITE-043; CITE-014; CITE-015; CITE-016,PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,DOC50-036 through DOC50-040.,"Request or review NARA RG 165 NAIDs 2149194, 2149191, 2149198, 2149195, and 2149196. Include only directives that show State, OWI, diplomatic, or foreign public-diplomacy policy significance beyond tactical psychological warfare.",repository/record group/collection; series or file-unit title; box/folder or NAID; document date; author/post; recipient; classification and routing marks; full source-copy image/page range; enclosures and marginalia; final source-note text; War Department office; directive title/date; State/OWI coordination proof or boundary hold reason,series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,EPI-005: Implementation and reaction evidence are missing; War Department directive row needs boundary proof. | EPI-004: Reaction and State-policy evidence are missing; RG 165 directive row needs boundary ruling. | EPI-006: Reaction and local post-file evidence are missing; RG 165 directive rows need selection/boundary decisions.,"Confirm NARA availability, series/file-unit access status, reproduction path, and any restriction note before relying on the row.",Digital images or high-resolution PDF preferred; preserve original filenames and page order; record any archive-supplied citation exactly.,"Each row has enough source-copy evidence to promote, hold, or exclude under the boundary rules, with the reason recorded.",BLOCK-06 - PULL-010 - RG 165 weekly propaganda directive boundary batch,,,,,"",
