QA ID,Candidate ID,Packet ID,Assembly ID,Working Document Slot,Chronology ID,Decision ID,Citation ID,Episode IDs,Evidence Role,Source Pull Plan IDs,Request IDs,Desk Gate Plan IDs,Repository,Record Group Or Collection,Source Locator,Date,Title,Source Copy Receipt Status,Source Copy Location,Suggested Source Folder,Suggested File Stem,Image Completeness Check,Page Order Check,Reverse Side Check,Enclosures Captured,Routing And Marginalia Captured,Legibility Check,OCR Status,Transcript Status,Translation Needed,Citation Fields Remaining,Authority Check,Duplicate Proof Check,Boundary Check,Episode Evidence Check,Promotion Readiness,QA Exit Criteria,Next QA Action,Reviewer,QA Date,Notes
QA-001,DOC50-041,PKT-041,ASM-001,WDS-001,CHR-001,SEL-041,CITE-001,EPI-001,EPI-001: Policy,TRIP-008,PULL-008,TRIP-011; TRIP-012,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620603,1942-1944,"Office of War Information, 1942-1944",Awaiting request or source copy,"",BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,WDS-001_DOC50-041_Office-of-War-Information-1942-1944,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Office of War Information and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-001: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-008, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-002,DOC50-048,PKT-048,ASM-002,WDS-002,CHR-002,SEL-048,CITE-002,EPI-010,EPI-010: Reaction,TRIP-007,PULL-007,TRIP-011; TRIP-012,NARA,RG 229,NAID 782735,1942,Radio Reaction Reports,Awaiting request or source copy,"",BLOCK-04 - PULL-007 - Latin America post files plus RG 229 radio reaction,WDS-002_DOC50-048_Radio-Reaction-Reports,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-010: Reaction.,Itemize file-unit source copy before selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-007, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-003,DOC50-043,PKT-043,ASM-003,WDS-003,CHR-003,SEL-043,CITE-003,EPI-001,EPI-001: Implementation,TRIP-008,PULL-008,TRIP-011; TRIP-012,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620611,June 1942,"Office of War Information - Survey of Intelligence, June 1942",Awaiting request or source copy,"",BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,WDS-003_DOC50-043_Office-of-War-Information---Survey-of-Intelligence,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Office of War Information and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-001: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-008, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-004,DOC50-044,PKT-044,ASM-004,WDS-004,CHR-004,SEL-044,CITE-004,EPI-001,EPI-001: Implementation,TRIP-008,PULL-008,TRIP-011; TRIP-012,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620616,August 1942,"Office of War Information - Survey of Intelligence, August 1942",Awaiting request or source copy,"",BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,WDS-004_DOC50-044_Office-of-War-Information---Survey-of-Intelligence,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Office of War Information and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-001: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-008, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-005,DOC50-046,PKT-046,ASM-005,WDS-005,CHR-005,SEL-046,CITE-005,EPI-002,EPI-002: Policy; EPI-002: Boundary/context,TRIP-009,PULL-009,TRIP-011; TRIP-012,FDR Library / NARA Catalog,Philleo Nash Papers,NAID 509549657,"November 19, 1942","Memorandum to Philleo Nash from Leo C. Rosten, with attachment",Awaiting request or source copy,"",BLOCK-05 - PULL-009 - Philleo Nash and Leo Rosten rumor-control boundary review,WDS-005_DOC50-046_Memorandum-to-Philleo-Nash-from-Leo-C.-Rosten,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-002: Policy; EPI-002: Boundary/context.,Boundary review before promotion; do not advance until foreign-policy significance is proven.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-009, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-006,DOC50-042,PKT-042,ASM-006,WDS-006,CHR-006,SEL-042,CITE-006,EPI-001,EPI-001: Policy,TRIP-008,PULL-008,TRIP-011; TRIP-012,FDR Library / NARA Catalog,President's Secretary's File,NAID 16609748,1942-1945,Office of War Information confidential file,Awaiting request or source copy,"",BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,WDS-006_DOC50-042_Office-of-War-Information-confidential-file,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Office of War Information and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-001: Policy.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-008, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-007,DOC50-045,PKT-045,ASM-007,WDS-007,CHR-007,SEL-045,CITE-007,EPI-001,EPI-001: Implementation,TRIP-008,PULL-008,TRIP-011; TRIP-012,FDR Library / NARA Catalog,President's Secretary's File,NAID 16620625,December 1942,"Office of War Information - Survey of Intelligence, December 1942",Awaiting request or source copy,"",BLOCK-05 - PULL-008 - FDR Library OWI White House decision packet,WDS-007_DOC50-045_Office-of-War-Information---Survey-of-Intelligence,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,Check authority rows for Office of War Information and any additional authors/recipients in the source copy.,Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-001: Implementation.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-008, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-008,DOC50-047,PKT-047,ASM-008,WDS-008,CHR-008,SEL-047,CITE-008,EPI-002,EPI-002: Implementation; EPI-002: Boundary/context,TRIP-009,PULL-009,TRIP-011; TRIP-012,FDR Library / NARA Catalog,Philleo Nash Papers,NAID 509549751,October 1942-April 1943,"Letter to Warren B. Walsh from Leo C. Rosten, with attachments",Awaiting request or source copy,"",BLOCK-05 - PULL-009 - Philleo Nash and Leo Rosten rumor-control boundary review,WDS-008_DOC50-047_Letter-to-Warren-B.-Walsh-from-Leo-C.,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary review required,Confirm episode role(s): EPI-002: Implementation; EPI-002: Boundary/context.,Boundary review before promotion; do not advance until foreign-policy significance is proven.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-009, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-009,DOC50-019,PKT-019,ASM-009,WDS-009,CHR-009,SEL-019,CITE-009,EPI-004,EPI-004: Policy,TRIP-003,PULL-003,TRIP-011; TRIP-012,NARA,RG 208,NAID 6851138,May 1943,Weekly Propaganda Directive: Poland,Awaiting request or source copy,"",BLOCK-02 - PULL-003 - RG 208 long-range policy directive batch,WDS-009_DOC50-019_Weekly-Propaganda-Directive-Poland,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-004: Policy.,"Priority review after source-copy QA clears citation, duplicate, authority, evidence, and boundary gates.","all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-003, run receipt QA, update citation fields, then decide promotion readiness.","","",""
QA-010,DOC50-031,PKT-031,ASM-010,WDS-010,CHR-010,SEL-031,CITE-010,EPI-003,EPI-003: Policy; EPI-003: Boundary/context,TRIP-004,PULL-004,TRIP-011; TRIP-012,NARA,RG 208,NAID 4732416,September 1943-June 1944,OWI-OSS Relations,Awaiting request or source copy,"",BLOCK-02 - PULL-004 - RG 208 special guidances London-Moscow cables OWI-OSS and PWE crosswalk,WDS-010_DOC50-031_OWI-OSS-Relations,"Not checked - confirm first/last page, page count, and missing images",Not checked - preserve archive order and note any disorder,Not checked - capture reverse sides or certify none present,Not checked - list enclosures or certify none present,"Not checked - capture routing slips, stamps, initials, and marginalia",Not checked - record illegible pages and request replacements if needed,Not started,Not started,"No, unless source copy contains foreign-language text or non-English attachment",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"Check authors, recipients, posts, offices, and any named persons against authority-control register after source copy arrives.",Exact public FRUS screen is logged with result count 0 and checked date 2026-06-02; attach broad History.state.gov search count and final duplicate ruling before promotion.,Boundary ruling still needed after source-copy review.,Confirm episode role(s): EPI-003: Policy; EPI-003: Boundary/context.,Hold pending receipt QA and selection decision.,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","When source copy arrives from PULL-004, run receipt QA, update citation fields, then decide promotion readiness.","","",""
