Episode ID,Working Episode Title,Chapter Number,Chapter Title,Date Range,Narrative Question,Policy Candidate IDs,Implementation Candidate IDs,Reaction Candidate IDs,Public-Line Reference IDs,Boundary Or Context Candidate IDs,All Candidate IDs,Working Document Slots,Assembly IDs,Chronology IDs,Decision IDs,Packet IDs,Duplicate IDs,Citation IDs,Authority Rows To Check,Primary Repositories,RG 59 State Need,RG 84 Post Need,FDR Library Need,Source Copy Gate,Duplicate Gate,Citation Gate,Authority Gate,Evidence Gap,Promotion Test,Draft Episode Note,Next Compiler Move,Related Pull Sheets,Related Docket,Notes
EPI-001,White House control and OWI creation files,2,Creating War Information and White House Control,1942-1944,"How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?",DOC50-041; DOC50-042,DOC50-043; DOC50-044; DOC50-045,"",PUB-001; PUB-002; PUB-004,"",DOC50-041; DOC50-042; DOC50-043; DOC50-044; DOC50-045,WDS-001; WDS-006; WDS-003; WDS-004; WDS-007,ASM-001; ASM-006; ASM-003; ASM-004; ASM-007,CHR-001; CHR-006; CHR-003; CHR-004; CHR-007,SEL-041; SEL-042; SEL-043; SEL-044; SEL-045,PKT-041; PKT-042; PKT-043; PKT-044; PKT-045,DUP-001; DUP-006; DUP-003; DUP-004; DUP-007,CITE-001; CITE-006; CITE-003; CITE-004; CITE-007,"Roosevelt, Franklin D.; Davis, Elmer; Early, Stephen T.; Rosenman, Samuel I.; White House; Office of War Information",FDR Library; NARA Catalog; RG 208; RG 59 follow-up,"Find State clearance, objections, or routing records that connect OWI control files to foreign-policy decisions.",Search post reporting only after a Washington public-line or OWI guidance record is selected.,"Pull President's Secretary's File OWI folders and identify routing, marginalia, and action officers.",source copy: 5 row(s) still open,duplicate: 5 row(s) still open,citation: 5 row(s) still open,Check preferred person and office forms in authority-control register; add missing authority rows for named correspondents before final annotation.,Reaction layer and State-side control evidence are still missing.,"Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",Use as opening control episode for the wartime information apparatus.,"Pull folder-level FDR Library source copies, then pair with RG 59 State clearance or post reaction evidence.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,""
EPI-002,"Domestic rumor, public-opinion, and boundary evidence",1,Prewar Information Policy and Predecessor Controls,1942-April 1943,Did domestic rumor-control or public-opinion intelligence shape overseas information policy enough to enter the diplomatic chronology?,DOC50-046,DOC50-047,"","",DOC50-046; DOC50-047,DOC50-046; DOC50-047,WDS-005; WDS-008,ASM-005; ASM-008,CHR-005; CHR-008,SEL-046; SEL-047,PKT-046; PKT-047,DUP-005; DUP-008,CITE-005; CITE-008,Leo C. Rosten; Philleo Nash; Warren B. Walsh; Office of War Information; White House,FDR Library / NARA Catalog; Philleo Nash Papers,"Search only if the source copy shows State, foreign-audience, or overseas-information implications.",Not a first-pull need unless foreign reaction or overseas policy influence appears.,"Verify Nash/Rosten/Walsh roles, exact title/date, attachments, and any White House routing.",source copy: 2 row(s) still open,duplicate: 2 row(s) still open,citation: 2 row(s) still open,Check preferred person and office forms in authority-control register; add missing authority rows for named correspondents before final annotation.,"Foreign-policy connection is unproven; authority rows for Rosten, Nash, and Walsh need source-backed normalization if selected.",Hold as boundary context unless a source copy ties the rumor/public-opinion evidence to foreign information policy or diplomatic action.,Use to prevent domestic morale material from leaking into the main volume without a public-diplomacy bridge.,"Review attachments first; if no foreign-policy link appears, mark as boundary hold or exclude.",PULL-009,DKT-001; DKT-005; DKT-008,""
EPI-003,"OWI, OSS, PWE, London, and Allied directive coordination",3,"OWI Overseas, VOA, Directives, and Outposts",September 1943-February 1945,"How did OWI coordinate public-diplomacy guidance with OSS, PWE, London, Moscow, and central/regional directive channels?",DOC50-031; DOC50-032; DOC50-033; DOC50-034,DOC50-029; DOC50-030,"","",DOC50-031; DOC50-032,DOC50-031; DOC50-032; DOC50-033; DOC50-034; DOC50-029; DOC50-030,WDS-010; WDS-013; WDS-017; WDS-025; WDS-019; WDS-011,ASM-010; ASM-013; ASM-017; ASM-025; ASM-019; ASM-011,CHR-010; CHR-013; CHR-017; CHR-025; CHR-019; CHR-011,SEL-031; SEL-032; SEL-033; SEL-034; SEL-029; SEL-030,PKT-031; PKT-032; PKT-033; PKT-034; PKT-029; PKT-030,DUP-010; DUP-013; DUP-017; DUP-025; DUP-019; DUP-011,CITE-010; CITE-013; CITE-017; CITE-025; CITE-019; CITE-011,Office of War Information; Office of Strategic Services; Political Warfare Executive; Department of State; Foreign Service Posts,NARA RG 208; RG 84 London; RG 59; Allied crosswalk files,Search for State clearance or objections to OWI-PWE/OSS directive traffic and London/Moscow policy cables.,"Pair with London and Moscow post files for coordination, diplomatic sensitivity, or reaction.",Use only if White House or public-line routing appears in the selected source copies.,source copy: 6 row(s) still open,duplicate: 6 row(s) still open,citation: 6 row(s) still open,Check preferred person and office forms in authority-control register; add missing authority rows for named correspondents before final annotation.,State clearance and post reaction are missing; Allied/PWE rows need U.S. source-copy anchors.,"Promote when the record shows U.S. policy coordination or diplomatic effect, not merely Allied or intelligence background.",Use as the interagency coordination bridge between central OWI policy and field implementation.,"Pull RG 208 directive copies, then request RG 84 London/Moscow and RG 59 clearance records for the same dates.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,""
EPI-004,"Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance",3,"OWI Overseas, VOA, Directives, and Outposts",May 1943-February 1945,"How did OWI handle Eastern European, Polish, Czechoslovak, Soviet, and exile-audience information policy?",DOC50-019; DOC50-026; DOC50-025,DOC50-030,"",PUB-004; PUB-006,DOC50-037,DOC50-019; DOC50-026; DOC50-025; DOC50-030; DOC50-037,WDS-009; WDS-035; WDS-045; WDS-011; WDS-043,ASM-009; ASM-035; ASM-045; ASM-011; ASM-043,CHR-009; CHR-035; CHR-045; CHR-011; CHR-043,SEL-019; SEL-026; SEL-025; SEL-030; SEL-037,PKT-019; PKT-026; PKT-025; PKT-030; PKT-037,DUP-009; DUP-035; DUP-045; DUP-011; DUP-043,CITE-009; CITE-035; CITE-045; CITE-011; CITE-043,Office of War Information; Department of State; Voice of America; Foreign Service Posts; War Department General and Special Staffs,NARA RG 208; RG 165 boundary; RG 59; RG 84 Moscow/London/Bern,"Search for State policy constraints, exile-government issues, Soviet sensitivities, and United Nations public-line handling.","Search Moscow, London, Bern, Stockholm, and liberated/European post files for reaction and diplomatic controversy.",Date-match war-aims and United Nations public-line references if guidance invokes public themes.,source copy: 5 row(s) still open,duplicate: 5 row(s) still open,citation: 5 row(s) still open,Check preferred person and office forms in authority-control register; add missing authority rows for named correspondents before final annotation.,Reaction and State-policy evidence are missing; RG 165 directive row needs boundary ruling.,Promote policy directives only after one State or post record shows why the theme mattered diplomatically.,Use as a thematic episode for occupied/exile audiences and public-line tensions near the war end.,"Pull RG 208 source copies, then search RG 59/RG 84 by country, exile, Moscow, United Nations, and broadcast terms.",PULL-003; PULL-004; PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,""
EPI-005,Germany occupation information policy and basic themes,5,"Peace Aims, Occupation Guidance, and State Handoff",December 1944-May 1945,How did wartime information guidance become occupation-era information policy for Germany?,DOC50-022; DOC50-020; DOC50-021,DOC50-036,"",PUB-005; PUB-006,DOC50-036,DOC50-022; DOC50-020; DOC50-021; DOC50-036,WDS-040; WDS-048; WDS-049; WDS-018,ASM-040; ASM-048; ASM-049; ASM-018,CHR-040; CHR-048; CHR-049; CHR-018,SEL-022; SEL-020; SEL-021; SEL-036,PKT-022; PKT-020; PKT-021; PKT-036,DUP-040; DUP-048; DUP-049; DUP-018,CITE-040; CITE-048; CITE-049; CITE-018,Office of War Information; Department of State; War Department General and Special Staffs; White House,NARA RG 208; RG 165 boundary; RG 59; RG 84 Germany/liberated Europe posts; FDR Library,"Search for State approval, occupation-policy coordination, handoff, and German information-policy records.",Search liberated Europe and Germany-adjacent post files for implementation and reaction.,Cross-check surrender/victory/public-line files only if the directive ties to presidential themes.,source copy: 4 row(s) still open,duplicate: 4 row(s) still open,citation: 4 row(s) still open,Check preferred person and office forms in authority-control register; add missing authority rows for named correspondents before final annotation.,Implementation and reaction evidence are missing; War Department directive row needs boundary proof.,Promote as chapter spine only when source copies show policy authority and a postwar/occupation handoff link.,"Use as a likely high-value end-of-war policy sequence, but hold final numbering until State/handoff evidence is attached.",Request RG 208 Germany directive source copies and search RG 59 for State-side occupation information files.,PULL-003; PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,""
EPI-006,"Neutral Europe, Italy, Balkan, and Iberian implementation",3,"OWI Overseas, VOA, Directives, and Outposts",July-December 1944,"How did OWI and posts handle neutral-country sensitivities, Italy/Balkan messaging, and regional information strategy?",DOC50-027; DOC50-029; DOC50-034,DOC50-011; DOC50-014; DOC50-015; DOC50-017,"","",DOC50-038; DOC50-039; DOC50-040,DOC50-027; DOC50-029; DOC50-034; DOC50-011; DOC50-014; DOC50-015; DOC50-017; DOC50-038; DOC50-039; DOC50-040,WDS-042; WDS-019; WDS-025; WDS-021; WDS-026; WDS-027; WDS-036; WDS-014; WDS-015; WDS-016,ASM-042; ASM-019; ASM-025; ASM-021; ASM-026; ASM-027; ASM-036; ASM-014; ASM-015; ASM-016,CHR-042; CHR-019; CHR-025; CHR-021; CHR-026; CHR-027; CHR-036; CHR-014; CHR-015; CHR-016,SEL-027; SEL-029; SEL-034; SEL-011; SEL-014; SEL-015; SEL-017; SEL-038; SEL-039; SEL-040,PKT-027; PKT-029; PKT-034; PKT-011; PKT-014; PKT-015; PKT-017; PKT-038; PKT-039; PKT-040,DUP-042; DUP-019; DUP-025; DUP-021; DUP-026; DUP-027; DUP-036; DUP-014; DUP-015; DUP-016,CITE-042; CITE-019; CITE-025; CITE-021; CITE-026; CITE-027; CITE-036; CITE-014; CITE-015; CITE-016,Office of War Information; Department of State; Foreign Service Posts; War Department General and Special Staffs,NARA RG 59; RG 84 Bern/Madrid/Lisbon/Italy/Las Palmas; RG 208; RG 165 boundary,Pull underlying 103.9166 State cable source copies and search for related instructions or replies.,"Search Bern, Madrid, Lisbon, Rome/Naples, and Las Palmas post files for censorship, host-government reaction, and local implementation.",Not a first-pull source unless public-line themes or White House routing appear.,source copy: 10 row(s) still open,duplicate: 10 row(s) still open,citation: 10 row(s) still open,Check preferred person and office forms in authority-control register; add missing authority rows for named correspondents before final annotation.,Reaction and local post-file evidence are missing; RG 165 directive rows need selection/boundary decisions.,"Promote cables that show diplomatic implementation, not routine forwarding of OWI material.",Use as a field-implementation episode for neutral Europe and Mediterranean/Balkan sensitivities.,"Pair RG 59 cable copies with RG 84 post-file searches by post, date, OWI, propaganda, broadcasts, and press terms.",PULL-003; PULL-004; PULL-001; PULL-010,DKT-001; DKT-005; DKT-008; DKT-004; DKT-002; DKT-006,""
EPI-007,"Britain, Iceland, and Atlantic information-center operations",3,"OWI Overseas, VOA, Directives, and Outposts",July-August 1944,What did OWI outpost and information-center work look like in the Atlantic/British implementation lane?,DOC50-029; DOC50-033,DOC50-010; DOC50-012; DOC50-013,"",PUB-005,"",DOC50-029; DOC50-033; DOC50-010; DOC50-012; DOC50-013,WDS-019; WDS-017; WDS-020; WDS-023; WDS-024,ASM-019; ASM-017; ASM-020; ASM-023; ASM-024,CHR-019; CHR-017; CHR-020; CHR-023; CHR-024,SEL-029; SEL-033; SEL-010; SEL-012; SEL-013,PKT-029; PKT-033; PKT-010; PKT-012; PKT-013,DUP-019; DUP-017; DUP-020; DUP-023; DUP-024,CITE-019; CITE-017; CITE-020; CITE-023; CITE-024,Office of War Information; Department of State; Foreign Service Posts; British Ministry of Information crosswalk if present,NARA RG 59; RG 84 London/Manchester/Iceland; RG 208,Pull 103.9166 source copies for Iceland and Manchester records.,"Search London, Manchester-related, and Iceland post files for implementation reports, British coordination, and audience response.",Use D-Day/public-line checks only if the outpost documents connect to liberation themes.,source copy: 5 row(s) still open,duplicate: 5 row(s) still open,citation: 5 row(s) still open,Check preferred person and office forms in authority-control register; add missing authority rows for named correspondents before final annotation.,Policy source and reaction evidence need to be paired with the implementation records.,"Promote the Iceland or Manchester records if they show outpost strategy, post coordination, or evidence of public reach.",Use as a concrete fieldwork episode that keeps the volume from becoming only Washington directives.,"Pull RG 59 source copies first, then request RG 84 London/Manchester post-file corroboration.",PULL-004; PULL-001,DKT-001; DKT-005; DKT-008; DKT-004; DKT-002; DKT-006,""
EPI-008,"Global outpost implementation in Africa, Pacific, New Zealand, and Thailand",3,"OWI Overseas, VOA, Directives, and Outposts",July 1944-January 1945,How did OWI guidance reach non-European outposts and Pacific/Asia-facing posts?,DOC50-035; DOC50-033; DOC50-034,DOC50-009; DOC50-016; DOC50-018,"",PUB-006,"",DOC50-035; DOC50-033; DOC50-034; DOC50-009; DOC50-016; DOC50-018,WDS-044; WDS-017; WDS-025; WDS-022; WDS-028; WDS-041,ASM-044; ASM-017; ASM-025; ASM-022; ASM-028; ASM-041,CHR-044; CHR-017; CHR-025; CHR-022; CHR-028; CHR-041,SEL-035; SEL-033; SEL-034; SEL-009; SEL-016; SEL-018,PKT-035; PKT-033; PKT-034; PKT-009; PKT-016; PKT-018,DUP-044; DUP-017; DUP-025; DUP-022; DUP-028; DUP-041,CITE-044; CITE-017; CITE-025; CITE-022; CITE-028; CITE-041,Office of War Information; Department of State; Foreign Service Posts; Voice of America if broadcast evidence appears,NARA RG 59; RG 84 Dakar/Suva/New Zealand/CBI/Pacific posts; RG 208,"Pull State cable copies for Dakar, Suva, and New Zealand records.","Search Dakar, Suva, Wellington, Chungking, Delhi, and Pacific/Asia post files for implementation and reaction.",Use United Nations or victory public-line references only if source copies show thematic linkage.,source copy: 6 row(s) still open,duplicate: 6 row(s) still open,citation: 6 row(s) still open,Check preferred person and office forms in authority-control register; add missing authority rows for named correspondents before final annotation.,Reaction layer and local post-file corroboration are missing.,"Promote only if records document actual implementation, distribution, or audience/public-affairs consequence.","Use as the coverage-balance episode for Pacific, Africa, and non-European implementation.",Request the three RG 59 source copies and open RG 84 post searches by post and OWI/radio/newsreel terms.,PULL-003; PULL-004; PULL-001,DKT-001; DKT-005; DKT-008; DKT-004; DKT-002; DKT-006,""
EPI-009,"CIAA/OIAA radio, film, and post implementation in Latin America",4,Hemisphere Information and Cultural Exchange,September-November 1944,"How did State, CIAA/OIAA, and posts manage radio schedules, films, recordings, and hemispheric information service proposals?",DOC50-001; DOC50-003; DOC50-006; DOC50-007,DOC50-004; DOC50-005; DOC50-008,DOC50-002,"","",DOC50-001; DOC50-003; DOC50-006; DOC50-007; DOC50-004; DOC50-005; DOC50-008; DOC50-002,WDS-029; WDS-032; WDS-039; WDS-037; WDS-033; WDS-034; WDS-031; WDS-030,ASM-029; ASM-032; ASM-039; ASM-037; ASM-033; ASM-034; ASM-031; ASM-030,CHR-029; CHR-032; CHR-039; CHR-037; CHR-033; CHR-034; CHR-031; CHR-030,SEL-001; SEL-003; SEL-006; SEL-007; SEL-004; SEL-005; SEL-008; SEL-002,PKT-001; PKT-003; PKT-006; PKT-007; PKT-004; PKT-005; PKT-008; PKT-002,DUP-029; DUP-032; DUP-039; DUP-037; DUP-033; DUP-034; DUP-031; DUP-030,CITE-029; CITE-032; CITE-039; CITE-037; CITE-033; CITE-034; CITE-031; CITE-030,Nelson A. Rockefeller; Office of Inter-American Affairs; Department of State; Foreign Service Posts; Teodoro Picado if DOC50-008 is selected,NARA RG 59; RG 84 Dominican Republic/Costa Rica/Colombia/Chile/Brazil; RG 229,Pull underlying 103.9161 State cable source copies for each CIAA/OIAA row.,"Search Latin American post files for host-government reaction, broadcast reception, film distribution, and local implementation.",Not a first-pull source unless Rockefeller/White House routing appears.,source copy: 8 row(s) still open,duplicate: 8 row(s) still open,citation: 8 row(s) still open,Check preferred person and office forms in authority-control register; add missing authority rows for named correspondents before final annotation.,RG 84 post corroboration and RG 229 program files are needed; Picado authority normalization needed if selected.,"Promote rows that show State/OIAA coordination, foreign-audience strategy, or post reaction rather than routine schedule notices.",Use as the main Latin America implementation episode in the candidate set.,Pull RG 59 source copies and pair each country/date with RG 84 post files and RG 229 radio/film program records.,PULL-002; PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,""
EPI-010,OIAA radio operations and reaction reports,4,Hemisphere Information and Cultural Exchange,1941-1945,Can OIAA radio operations and reaction reports supply the reception layer for hemispheric information policy?,DOC50-050,DOC50-049,DOC50-048,"","",DOC50-050; DOC50-049; DOC50-048,WDS-012; WDS-050; WDS-002,ASM-012; ASM-050; ASM-002,CHR-012; CHR-050; CHR-002,SEL-050; SEL-049; SEL-048,PKT-050; PKT-049; PKT-048,DUP-012; DUP-050; DUP-002,CITE-012; CITE-050; CITE-002,"Office of Inter-American Affairs; OIAA Department of Information, Radio Division; Department of State",NARA RG 229; RG 84 Latin America posts; RG 59 State cables,Use RG 59 State cable candidates to connect OIAA radio operations to diplomatic traffic.,"Search posts named in reaction reports for local reception, host-government response, or broadcast problems.",Not a first-pull need unless White House or Rockefeller routing appears.,source copy: 3 row(s) still open,duplicate: 3 row(s) still open,citation: 3 row(s) still open,Check preferred person and office forms in authority-control register; add missing authority rows for named correspondents before final annotation.,File units must be itemized and linked to document-level policy and post evidence.,"Promote only item-level reports that prove audience reception, operational significance, or State/OIAA coordination.",Use as the reception and operations companion to the Latin America State-cable episode.,"Itemize RG 229 file units, then match report dates/countries to RG 59 and RG 84 records.",PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,""
