Authority ID,Authority Type,Preferred Form,Display Form,Sort Key,Variant Forms,Office Or Role,Date Span,Date Evidence Status,Source Family,Source Anchor,Scopes,Related Lanes,Related Candidate IDs,Related Pull Sheets,Authority Status,Review Needed,Review Action,Boundary Note,Compiler Use,Notes
AUTH-PER-001,Person,"Roosevelt, Franklin D.",Franklin D. Roosevelt,Roosevelt Franklin,FDR; President Roosevelt,"President of the United States, 1933-1945",1933-1945,Provisional source-map authority; verify against selected source note,FDR Library collections,https://www.fdrlibrary.org/collections-list,White House; Public Line; Peace Aims,White House; Public Line; Peace Aims,"","",Presidential papers anchor,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-002,Person,"Roosevelt, Eleanor",Eleanor Roosevelt,Roosevelt Eleanor,ER; Mrs. Roosevelt,First Lady; public advocate and internationalist voice,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,FDR Library collections,https://www.fdrlibrary.org/collections-list,Public Line; Cultural Exchange,Public Line; Cultural Exchange,"","",Context authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-003,Person,"Davis, Elmer",Elmer Davis,Davis Elmer,"","Director, Office of War Information",Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 208,https://www.archives.gov/research/guide-fed-records/groups/208.html,OWI; Organization,OWI; Organization,"","",Agency head,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-004,Person,"Mellett, Lowell",Lowell Mellett,Mellett Lowell,"","Director, Office of Government Reports; OWI motion picture official",Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 44,https://www.archives.gov/research/guide-fed-records/groups/044.html,OGR; Film; OWI,OGR; Film; OWI,"","",Agency official,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-005,Person,"Hopkins, Harry L.",Harry L. Hopkins,Hopkins Harry,Harry Hopkins,Presidential adviser and wartime White House official,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,FDR Library collections,https://www.fdrlibrary.org/collections-list,White House; War Aims,White House; War Aims,"","",White House authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-006,Person,"Rockefeller, Nelson A.",Nelson A. Rockefeller,Rockefeller Nelson,Nelson Rockefeller,Coordinator of Inter-American Affairs,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 229,https://www.archives.gov/research/guide-fed-records/groups/229.html,OCIAA; Hemisphere,OCIAA; Hemisphere,"","",Agency head,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-007,Person,"Donovan, William J.",William J. Donovan,Donovan William,Wild Bill Donovan,"Coordinator of Information; Director, Office of Strategic Services",Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 226,https://www.archives.gov/research/military/ww2/oss/series.html,COI; OSS; Boundary,COI; OSS; Boundary,"","",Boundary authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.",Use only when selected documents meet boundary promotion rules.,"Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-008,Person,"MacLeish, Archibald",Archibald MacLeish,MacLeish Archibald,"",Librarian of Congress; Assistant Secretary of State for Public and Cultural Relations,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,Public diplomacy source map,https://history.state.gov/historicaldocuments/frus1917-72PubDipv03,State Department; Public Diplomacy; Handoff,State Department; Public Diplomacy; Handoff,"","",State handoff authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-009,Person,"Sherwood, Robert E.",Robert E. Sherwood,Sherwood Robert,Robert Sherwood,Writer and OWI overseas official; presidential speech collaborator,Needs selected-source title-date check,Needs compiler normalization from selected source note,FDR Library and NARA leads,https://www.fdrlibrary.org/collections-list,OWI; Speech; Overseas,OWI; Speech; Overseas,"","",Compiler normalization,Yes,Confirm exact office/title from selected OWI source notes.,"","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-010,Person,"Houseman, John",John Houseman,Houseman John,"",Early Voice of America and OWI radio figure,Needs selected-source title-date check,Needs compiler normalization from selected source note,VOA source leads,https://catalog.archives.gov/search?q=%22Voice%20of%20America%22%20%22Office%20of%20War%20Information%22,VOA; Radio,VOA; Radio,"","",Compiler normalization,Yes,Confirm role and date range from VOA/OWI radio files before final persons entry.,"","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-011,Person,"Price, Byron",Byron Price,Price Byron,"","Director, Office of Censorship",Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 216,https://www.archives.gov/research/guide-fed-records/groups/216.html,Censorship; Broadcast Monitoring,Censorship; Broadcast Monitoring,"","",Boundary authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-012,Person,"Hull, Cordell",Cordell Hull,Hull Cordell,"","Secretary of State, 1933-1944",1933-1944,Provisional source-map authority; verify against selected source note,State Department authority,https://www.archives.gov/research/guide-fed-records/groups/059.html,State Department; Foreign Policy,State Department; Foreign Policy,"","",State official,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-013,Person,"Stettinius, Edward R., Jr.","Edward R. Stettinius, Jr.",Stettinius Edward,Edward Stettinius,"Secretary of State, 1944-1945",1944-1945,Provisional source-map authority; verify against selected source note,State Department authority,https://www.archives.gov/research/guide-fed-records/groups/059.html,State Department; United Nations; Handoff,State Department; United Nations; Handoff,"","",State official,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
