Annotation ID,Candidate ID,Assembly ID,Working Document Slot,Proposed FRUS Number,Chapter Number,Chapter Title,Chapter Slot,Section Heading,Date,Title,Lane,Editorial Role,Assembly Function,Priority,Annotation Type,Promotion Recommendation,Narrative Question,Draft Headnote Or Annotation Task,Context To Establish,Policy Link To Explain,Implementation Link To Explain,Reaction Or Public Line Link To Explain,Boundary Or Exclusion Issue,Episode IDs,Episode Titles,Episode Draft Notes,Episode Promotion Tests,Cross References To Other Candidates,Authority Rows To Check,Authority Forms To Normalize,Source Note Dependency,Citation Fields Remaining,Source Copy QA Dependency,Duplicate Proof Dependency,FRUS Search URL,Catalog URL,Related Pull Sheets,Related Docket,Draft Annotation Stub,Draft Headnote Stub,Required Before Final Text,Next Drafting Action,Reviewer,Draft Date,Notes
ANN-001,DOC50-046,ASM-005,WDS-005,"",1,Prewar Information Policy and Predecessor Controls,CH1-S01,Predecessor and domestic-boundary evidence,"November 19, 1942","Memorandum to Philleo Nash from Leo C. Rosten, with attachment",Prewar Information Policy,Boundary memo,Boundary or context document,Medium,Boundary/exclusion annotation,Boundary review before promotion,Did domestic rumor-control or public-opinion intelligence shape overseas information policy enough to enter the diplomatic chronology?,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.","Explain the foreign-policy bridge that justifies inclusion, or record why the item remains boundary context or should be excluded.",Connect this document to the episode policy/guidance record before final annotation.,Identify or confirm implementation/distribution evidence tied to this document.,"Identify reaction, reception, post-reporting, or public-line evidence if the episode requires it.",Not yet ruled,EPI-002,"Domestic rumor, public-opinion, and boundary evidence",EPI-002: Use to prevent domestic morale material from leaking into the main volume without a public-diplomacy bridge.,EPI-002: Hold as boundary context unless a source copy ties the rumor/public-opinion evidence to foreign information policy or diplomatic action.,DOC50-047,"",Leo C. Rosten; Philleo Nash; Warren B. Walsh; Office of War Information; White House,"FDR Library via NARA Catalog, Philleo Nash Papers, Office of War Information Files, Rumors memoranda for editors and publishers, NAID 509549657. Source copy, exact folder, item/page image, classification, and routing still to be verified before final FRUS source note.",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","https://history.state.gov/search?q=%22Memorandum%20to%20Philleo%20Nash%20from%20Leo%20C.%20Rosten%22; https://history.state.gov/search?q=Memorandum%20Philleo%20Nash%20Rosten%20attachment%20Office%20of%20War%20Information%201942; Save exact-search URL, exact result count, broad-search URL, broad result count, checked date, and final duplicate ruling before promotion.",https://history.state.gov/search?q=%22Memorandum%20to%20Philleo%20Nash%20from%20Leo%20C.%20Rosten%22,https://catalog.archives.gov/id/509549657,PULL-009,DKT-001; DKT-005; DKT-008,"Draft boundary/exclusion annotation for DOC50-046: explain why Memorandum to Philleo Nash from Leo C. Rosten, with attachment (November 19, 1942) matters to Prewar Information Policy and tie it to source-copy proof, duplicate clearance, authority forms, and episode evidence.","If promoted, introduce Memorandum to Philleo Nash from Leo C. Rosten, with attachment as boundary or context document in Prewar Information Policy and Predecessor Controls; answer: Did domestic rumor-control or public-opinion intelligence shape overseas information policy enough to enter the diplomatic chronology?",source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,"After receipt QA, resolve box and folder confirmation, then draft annotation and proposed headnote language for WDS-005.","","",""
ANN-002,DOC50-047,ASM-008,WDS-008,"",1,Prewar Information Policy and Predecessor Controls,CH1-S02,Predecessor and domestic-boundary evidence,October 1942-April 1943,"Letter to Warren B. Walsh from Leo C. Rosten, with attachments",Prewar Information Policy,Boundary memo,Boundary or context document,Low,Boundary/exclusion annotation,Boundary review before promotion,Did domestic rumor-control or public-opinion intelligence shape overseas information policy enough to enter the diplomatic chronology?,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.","Explain the foreign-policy bridge that justifies inclusion, or record why the item remains boundary context or should be excluded.",Connect this document to the episode policy/guidance record before final annotation.,Identify or confirm implementation/distribution evidence tied to this document.,"Identify reaction, reception, post-reporting, or public-line evidence if the episode requires it.",Boundary review required,EPI-002,"Domestic rumor, public-opinion, and boundary evidence",EPI-002: Use to prevent domestic morale material from leaking into the main volume without a public-diplomacy bridge.,EPI-002: Hold as boundary context unless a source copy ties the rumor/public-opinion evidence to foreign information policy or diplomatic action.,DOC50-046,"",Leo C. Rosten; Philleo Nash; Warren B. Walsh; Office of War Information; White House,"FDR Library via NARA Catalog, Philleo Nash Papers, Office of War Information Files, Rumors-Syracuse University Rumor Clinic, NAID 509549751. Source copy, exact folder, item/page image, classification, and routing still to be verified before final FRUS source note.",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","https://history.state.gov/search?q=%22Letter%20to%20Warren%20B.%20Walsh%20from%20Leo%20C.%20Rosten%22; https://history.state.gov/search?q=Letter%20Warren%20Walsh%20Rosten%20attachments%20Office%20of%20War%20Information%201942; Save exact-search URL, exact result count, broad-search URL, broad result count, checked date, and final duplicate ruling before promotion.",https://history.state.gov/search?q=%22Letter%20to%20Warren%20B.%20Walsh%20from%20Leo%20C.%20Rosten%22,https://catalog.archives.gov/id/509549751,PULL-009,DKT-001; DKT-005; DKT-008,"Draft boundary/exclusion annotation for DOC50-047: explain why Letter to Warren B. Walsh from Leo C. Rosten, with attachments (October 1942-April 1943) matters to Prewar Information Policy and tie it to source-copy proof, duplicate clearance, authority forms, and episode evidence.","If promoted, introduce Letter to Warren B. Walsh from Leo C. Rosten, with attachments as boundary or context document in Prewar Information Policy and Predecessor Controls; answer: Did domestic rumor-control or public-opinion intelligence shape overseas information policy enough to enter the diplomatic chronology?",source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,"After receipt QA, resolve box and folder confirmation, then draft annotation and proposed headnote language for WDS-008.","","",""
ANN-003,DOC50-041,ASM-001,WDS-001,"",2,Creating War Information and White House Control,CH2-S01,White House control and OWI creation files,1942-1944,"Office of War Information, 1942-1944",Creating War Information,White House control,Control / authority document,High,Policy headnote,Hold pending source-copy and duplicate proof,"How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?","Explain presidential or White House control, relation to OWI creation or guidance, and any linked public-line or State clearance evidence.","Identify White House routing, presidential or staff action, OWI/State relationship, and whether the record controlled overseas public information.",Connect this document to the episode policy/guidance record before final annotation.,Identify or confirm implementation/distribution evidence tied to this document.,"Identify reaction, reception, post-reporting, or public-line evidence if the episode requires it.",Not yet ruled,EPI-001,White House control and OWI creation files,EPI-001: Use as opening control episode for the wartime information apparatus.,"EPI-001: Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",DOC50-042; DOC50-043; DOC50-044; DOC50-045,"","Roosevelt, Franklin D.; Davis, Elmer; Early, Stephen T.; Rosenman, Samuel I.; White House; Office of War Information","FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information, 1942-1944, NAID 16620603. Source copy, exact folder, item/page image, classification, and routing still to be verified before final FRUS source note.",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","https://history.state.gov/search?q=%22Office%20of%20War%20Information%2C%201942-1944%22; https://history.state.gov/search?q=1942-1944%20Office%20of%20War%20Information%201942; Save exact-search URL, exact result count, broad-search URL, broad result count, checked date, and final duplicate ruling before promotion.",https://history.state.gov/search?q=%22Office%20of%20War%20Information%2C%201942-1944%22,https://catalog.archives.gov/id/16620603,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"Draft policy headnote for DOC50-041: explain why Office of War Information, 1942-1944 (1942-1944) matters to Creating War Information and tie it to source-copy proof, duplicate clearance, authority forms, and episode evidence.","If promoted, introduce Office of War Information, 1942-1944 as control / authority document in Creating War Information and White House Control; answer: How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?",source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,"After receipt QA, resolve box and folder confirmation, then draft annotation and proposed headnote language for WDS-001.","","",""
ANN-004,DOC50-043,ASM-003,WDS-003,"",2,Creating War Information and White House Control,CH2-S02,White House control and OWI creation files,June 1942,"Office of War Information - Survey of Intelligence, June 1942",Creating War Information,White House control,Control / authority document,Medium,Policy headnote,Hold pending source-copy and duplicate proof,"How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?","Explain presidential or White House control, relation to OWI creation or guidance, and any linked public-line or State clearance evidence.","Identify White House routing, presidential or staff action, OWI/State relationship, and whether the record controlled overseas public information.",Connect this document to the episode policy/guidance record before final annotation.,Identify or confirm implementation/distribution evidence tied to this document.,"Identify reaction, reception, post-reporting, or public-line evidence if the episode requires it.",Not yet ruled,EPI-001,White House control and OWI creation files,EPI-001: Use as opening control episode for the wartime information apparatus.,"EPI-001: Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",DOC50-041; DOC50-042; DOC50-044; DOC50-045,"","Roosevelt, Franklin D.; Davis, Elmer; Early, Stephen T.; Rosenman, Samuel I.; White House; Office of War Information","FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, June 1942, NAID 16620611. Source copy, exact folder, item/page image, classification, and routing still to be verified before final FRUS source note.",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20June%201942%22; https://history.state.gov/search?q=Survey%20Intelligence%20June%201942%20Office%20of%20War%20Information%201942; Save exact-search URL, exact result count, broad-search URL, broad result count, checked date, and final duplicate ruling before promotion.",https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20June%201942%22,https://catalog.archives.gov/id/16620611,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"Draft policy headnote for DOC50-043: explain why Office of War Information - Survey of Intelligence, June 1942 (June 1942) matters to Creating War Information and tie it to source-copy proof, duplicate clearance, authority forms, and episode evidence.","If promoted, introduce Office of War Information - Survey of Intelligence, June 1942 as control / authority document in Creating War Information and White House Control; answer: How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?",source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,"After receipt QA, resolve box and folder confirmation, then draft annotation and proposed headnote language for WDS-003.","","",""
ANN-005,DOC50-044,ASM-004,WDS-004,"",2,Creating War Information and White House Control,CH2-S03,White House control and OWI creation files,August 1942,"Office of War Information - Survey of Intelligence, August 1942",Creating War Information,White House control,Control / authority document,Medium,Policy headnote,Hold pending source-copy and duplicate proof,"How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?","Explain presidential or White House control, relation to OWI creation or guidance, and any linked public-line or State clearance evidence.","Identify White House routing, presidential or staff action, OWI/State relationship, and whether the record controlled overseas public information.",Connect this document to the episode policy/guidance record before final annotation.,Identify or confirm implementation/distribution evidence tied to this document.,"Identify reaction, reception, post-reporting, or public-line evidence if the episode requires it.",Not yet ruled,EPI-001,White House control and OWI creation files,EPI-001: Use as opening control episode for the wartime information apparatus.,"EPI-001: Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",DOC50-041; DOC50-042; DOC50-043; DOC50-045,"","Roosevelt, Franklin D.; Davis, Elmer; Early, Stephen T.; Rosenman, Samuel I.; White House; Office of War Information","FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, August 1942, NAID 16620616. Source copy, exact folder, item/page image, classification, and routing still to be verified before final FRUS source note.",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20August%201942%22; https://history.state.gov/search?q=Survey%20Intelligence%20August%201942%20Office%20of%20War%20Information%201942; Save exact-search URL, exact result count, broad-search URL, broad result count, checked date, and final duplicate ruling before promotion.",https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20August%201942%22,https://catalog.archives.gov/id/16620616,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"Draft policy headnote for DOC50-044: explain why Office of War Information - Survey of Intelligence, August 1942 (August 1942) matters to Creating War Information and tie it to source-copy proof, duplicate clearance, authority forms, and episode evidence.","If promoted, introduce Office of War Information - Survey of Intelligence, August 1942 as control / authority document in Creating War Information and White House Control; answer: How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?",source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,"After receipt QA, resolve box and folder confirmation, then draft annotation and proposed headnote language for WDS-004.","","",""
ANN-006,DOC50-042,ASM-006,WDS-006,"",2,Creating War Information and White House Control,CH2-S04,White House control and OWI creation files,1942-1945,Office of War Information confidential file,Creating War Information,White House control,Control / authority document,High,Policy headnote,Hold pending source-copy and duplicate proof,"How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?","Explain presidential or White House control, relation to OWI creation or guidance, and any linked public-line or State clearance evidence.","Identify White House routing, presidential or staff action, OWI/State relationship, and whether the record controlled overseas public information.",Connect this document to the episode policy/guidance record before final annotation.,Identify or confirm implementation/distribution evidence tied to this document.,"Identify reaction, reception, post-reporting, or public-line evidence if the episode requires it.",Not yet ruled,EPI-001,White House control and OWI creation files,EPI-001: Use as opening control episode for the wartime information apparatus.,"EPI-001: Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",DOC50-041; DOC50-043; DOC50-044; DOC50-045,"","Roosevelt, Franklin D.; Davis, Elmer; Early, Stephen T.; Rosenman, Samuel I.; White House; Office of War Information","FDR Library via NARA Catalog, President's Secretary's File, Confidential Files, Office of War Information, NAID 16609748. Source copy, exact folder, item/page image, classification, and routing still to be verified before final FRUS source note.",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","https://history.state.gov/search?q=%22Office%20of%20War%20Information%20confidential%20file%22; https://history.state.gov/search?q=confidential%20Office%20of%20War%20Information%201942; Save exact-search URL, exact result count, broad-search URL, broad result count, checked date, and final duplicate ruling before promotion.",https://history.state.gov/search?q=%22Office%20of%20War%20Information%20confidential%20file%22,https://catalog.archives.gov/id/16609748,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"Draft policy headnote for DOC50-042: explain why Office of War Information confidential file (1942-1945) matters to Creating War Information and tie it to source-copy proof, duplicate clearance, authority forms, and episode evidence.","If promoted, introduce Office of War Information confidential file as control / authority document in Creating War Information and White House Control; answer: How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?",source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,"After receipt QA, resolve box and folder confirmation, then draft annotation and proposed headnote language for WDS-006.","","",""
ANN-007,DOC50-045,ASM-007,WDS-007,"",2,Creating War Information and White House Control,CH2-S05,White House control and OWI creation files,December 1942,"Office of War Information - Survey of Intelligence, December 1942",Creating War Information,White House control,Control / authority document,Medium,Policy headnote,Hold pending source-copy and duplicate proof,"How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?","Explain presidential or White House control, relation to OWI creation or guidance, and any linked public-line or State clearance evidence.","Identify White House routing, presidential or staff action, OWI/State relationship, and whether the record controlled overseas public information.",Connect this document to the episode policy/guidance record before final annotation.,Identify or confirm implementation/distribution evidence tied to this document.,"Identify reaction, reception, post-reporting, or public-line evidence if the episode requires it.",Not yet ruled,EPI-001,White House control and OWI creation files,EPI-001: Use as opening control episode for the wartime information apparatus.,"EPI-001: Promote only if the source copy shows presidential/White House control, State clearance, or a policy decision rather than routine filing.",DOC50-041; DOC50-042; DOC50-043; DOC50-044,"","Roosevelt, Franklin D.; Davis, Elmer; Early, Stephen T.; Rosenman, Samuel I.; White House; Office of War Information","FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, December 1942, NAID 16620625. Source copy, exact folder, item/page image, classification, and routing still to be verified before final FRUS source note.",box and folder confirmation; exact item image or page range; document author and recipient where present; routing or filing marks; final duplicate ruling; selection rationale; evidence cross-reference,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20December%201942%22; https://history.state.gov/search?q=Survey%20Intelligence%20December%201942%20Office%20of%20War%20Information%201942; Save exact-search URL, exact result count, broad-search URL, broad result count, checked date, and final duplicate ruling before promotion.",https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20December%201942%22,https://catalog.archives.gov/id/16620625,PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,"Draft policy headnote for DOC50-045: explain why Office of War Information - Survey of Intelligence, December 1942 (December 1942) matters to Creating War Information and tie it to source-copy proof, duplicate clearance, authority forms, and episode evidence.","If promoted, introduce Office of War Information - Survey of Intelligence, December 1942 as control / authority document in Creating War Information and White House Control; answer: How did White House control and presidential oversight shape the creation, supervision, and intelligence review of OWI?",source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,"After receipt QA, resolve box and folder confirmation, then draft annotation and proposed headnote language for WDS-007.","","",""
ANN-008,DOC50-031,ASM-010,WDS-010,"",2,Creating War Information and White House Control,CH2-S06,Interagency coordination and intelligence boundary,September 1943-June 1944,OWI-OSS Relations,Creating War Information,Policy coordination,Coordination bridge document,High,Coordination annotation,Hold pending source-copy and duplicate proof,"How did OWI coordinate public-diplomacy guidance with OSS, PWE, London, Moscow, and central/regional directive channels?","Draft a short annotation that ties the record to policy, implementation, reaction, source-copy, duplicate, citation, and authority gates.","Identify the document function, diplomatic significance, source-copy provenance, and evidence pairings needed for final selection.",Connect this document to the episode policy/guidance record before final annotation.,Identify or confirm implementation/distribution evidence tied to this document.,"Identify reaction, reception, post-reporting, or public-line evidence if the episode requires it.",Not yet ruled,EPI-003,"OWI, OSS, PWE, London, and Allied directive coordination",EPI-003: Use as the interagency coordination bridge between central OWI policy and field implementation.,"EPI-003: Promote when the record shows U.S. policy coordination or diplomatic effect, not merely Allied or intelligence background.",DOC50-032; DOC50-033; DOC50-034; DOC50-029; DOC50-030,"",Office of War Information; Office of Strategic Services; Political Warfare Executive; Department of State; Foreign Service Posts,"NARA RG 208, Record Set of Policy Directives, OWI-OSS Relations-September 1943-June 1944, NAID 4732416. Source copy, exact folder, item/page image, classification, and routing still to be verified before final FRUS source note.",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","https://history.state.gov/search?q=%22OWI-OSS%20Relations%22; https://history.state.gov/search?q=OWI-OSS%20Relations%20Office%20of%20War%20Information%20directive%201943; Save exact-search URL, exact result count, broad-search URL, broad result count, checked date, and final duplicate ruling before promotion.",https://history.state.gov/search?q=%22OWI-OSS%20Relations%22,https://catalog.archives.gov/id/4732416,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,"Draft coordination annotation for DOC50-031: explain why OWI-OSS Relations (September 1943-June 1944) matters to Creating War Information and tie it to source-copy proof, duplicate clearance, authority forms, and episode evidence.","If promoted, introduce OWI-OSS Relations as coordination bridge document in Creating War Information and White House Control; answer: How did OWI coordinate public-diplomacy guidance with OSS, PWE, London, Moscow, and central/regional directive channels?",source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,"After receipt QA, resolve series and file-unit confirmation, then draft annotation and proposed headnote language for WDS-010.","","",""
ANN-009,DOC50-019,ASM-009,WDS-009,"",3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S01,OWI long-range policy and broadcast guidance,May 1943,Weekly Propaganda Directive: Poland,OWI Overseas and VOA,Policy guidance,Policy directive / guidance document,Critical,Policy headnote,Priority promotion review after source copy,"How did OWI handle Eastern European, Polish, Czechoslovak, Soviet, and exile-audience information policy?","Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.","Identify issuing authority, intended audience or theater, policy themes, State or White House clearance, and downstream implementation records.",Connect this document to the episode policy/guidance record before final annotation.,Identify or confirm implementation/distribution evidence tied to this document.,"Identify reaction, reception, post-reporting, or public-line evidence if the episode requires it.",Not yet ruled,EPI-004,"Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance",EPI-004: Use as a thematic episode for occupied/exile audiences and public-line tensions near the war end.,EPI-004: Promote policy directives only after one State or post record shows why the theme mattered diplomatically.,DOC50-026; DOC50-025; DOC50-030; DOC50-037,"",Office of War Information; Department of State; Voice of America; Foreign Service Posts; War Department General and Special Staffs,"NARA RG 208, Records of the Office of War Information, Record Set of Policy Directives, Regional Directives-May 1943, NAID 6851138. Source copy, exact folder, item/page image, classification, and routing still to be verified before final FRUS source note.",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%3A%20Poland%22; https://history.state.gov/search?q=Weekly%20Propaganda%20Poland%20Office%20of%20War%20Information%20directive%201943; Save exact-search URL, exact result count, broad-search URL, broad result count, checked date, and final duplicate ruling before promotion.",https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%3A%20Poland%22,https://catalog.archives.gov/id/6851138,PULL-003,DKT-001; DKT-005; DKT-008; DKT-004,"Draft policy headnote for DOC50-019: explain why Weekly Propaganda Directive: Poland (May 1943) matters to OWI Overseas and VOA and tie it to source-copy proof, duplicate clearance, authority forms, and episode evidence.","If promoted, introduce Weekly Propaganda Directive: Poland as policy directive / guidance document in OWI Overseas, VOA, Directives, and Outposts; answer: How did OWI handle Eastern European, Polish, Czechoslovak, Soviet, and exile-audience information policy?",source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,"After receipt QA, resolve series and file-unit confirmation, then draft annotation and proposed headnote language for WDS-009.","","",""
ANN-010,DOC50-030,ASM-011,WDS-011,"",3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S02,OWI policy coordination and Allied directive crosswalks,October 1943-September 1945,Special Guidances-Moscow Cables on Directives,OWI Overseas and VOA,Policy coordination,Coordination bridge document,High,Coordination annotation,Hold pending source-copy and duplicate proof,"How did OWI coordinate public-diplomacy guidance with OSS, PWE, London, Moscow, and central/regional directive channels? | How did OWI handle Eastern European, Polish, Czechoslovak, Soviet, and exile-audience information policy?","Draft a short annotation that ties the record to policy, implementation, reaction, source-copy, duplicate, citation, and authority gates.","Identify the document function, diplomatic significance, source-copy provenance, and evidence pairings needed for final selection.",Connect this document to the episode policy/guidance record before final annotation.,Identify or confirm implementation/distribution evidence tied to this document.,"Identify reaction, reception, post-reporting, or public-line evidence if the episode requires it.",Not yet ruled,EPI-003; EPI-004,"OWI, OSS, PWE, London, and Allied directive coordination | Eastern Europe, exile audiences, and Poland/Czechoslovakia guidance",EPI-003: Use as the interagency coordination bridge between central OWI policy and field implementation. | EPI-004: Use as a thematic episode for occupied/exile audiences and public-line tensions near the war end.,"EPI-003: Promote when the record shows U.S. policy coordination or diplomatic effect, not merely Allied or intelligence background. | EPI-004: Promote policy directives only after one State or post record shows why the theme mattered diplomatically.",DOC50-031; DOC50-032; DOC50-033; DOC50-034; DOC50-029; DOC50-019; DOC50-026; DOC50-025; DOC50-037,"",Office of War Information; Office of Strategic Services; Political Warfare Executive; Department of State; Foreign Service Posts; Voice of America; War Department General and Special Staffs,"NARA RG 208, Record Set of Policy Directives, Special Guidances-Moscow Cables on Directives-October 1943-September 1945, NAID 4732413. Source copy, exact folder, item/page image, classification, and routing still to be verified before final FRUS source note.",series and file-unit confirmation; box and folder; exact item image or page range; author and recipient where present; classification/routing stamps; final duplicate ruling; selection rationale; evidence cross-reference,"all pages/images received and in order; reverse sides, enclosures, routing slips, and marginalia checked; legible enough for transcription; OCR/transcript status recorded; citation fields updated; duplicate proof attached; authority names checked; episode evidence role confirmed; promotion/hold/boundary/exclude recommendation ready","https://history.state.gov/search?q=%22Special%20Guidances-Moscow%20Cables%20on%20Directives%22; https://history.state.gov/search?q=Special%20Guidances-Moscow%20Cables%20Directives%20Office%20of%20War%20Information%20directive%201943; Save exact-search URL, exact result count, broad-search URL, broad result count, checked date, and final duplicate ruling before promotion.",https://history.state.gov/search?q=%22Special%20Guidances-Moscow%20Cables%20on%20Directives%22,https://catalog.archives.gov/id/4732413,PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,"Draft coordination annotation for DOC50-030: explain why Special Guidances-Moscow Cables on Directives (October 1943-September 1945) matters to OWI Overseas and VOA and tie it to source-copy proof, duplicate clearance, authority forms, and episode evidence.","If promoted, introduce Special Guidances-Moscow Cables on Directives as coordination bridge document in OWI Overseas, VOA, Directives, and Outposts; answer: How did OWI coordinate public-diplomacy guidance with OSS, PWE, London, Moscow, and central/regional directive channels?",source-copy receipt QA; final source-note citation; duplicate ruling; selection decision; authority check; boundary ruling,"After receipt QA, resolve series and file-unit confirmation, then draft annotation and proposed headnote language for WDS-011.","","",""
